Orthogroup	A_granulata_2	P_fucata_2
OG0000007	A_granulata|evm.model.Super-Scaffold_100009.926_1	P_fucata|Pma_10023862
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.411_1	P_fucata|Pma_10001157
OG0000007	A_granulata|model.g6275.t1_1	P_fucata|Pma_10004348, P_fucata|Pma_10009355
OG0000007	A_granulata|model.g13936.t1_1	P_fucata|Pma_10023863
OG0000007	A_granulata|model.g13938.t1_1	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649
OG0000007	A_granulata|model.g5761.t1_1	P_fucata|Pma_10016536
OG0000007	A_granulata|evm.model.Super-Scaffold_100006.1323_1	P_fucata|Pma_10027249
OG0000007	A_granulata|model.g6270.t1.2.5d3b84cf_1	P_fucata|Pma_10017849
OG0000009	A_granulata|evm.model.Super-Scaffold_100012.506_1	P_fucata|Pma_10032418
OG0000009	A_granulata|evm.model.Super-Scaffold_100004.157_1	P_fucata|Pma_10006517
OG0000009	A_granulata|evm.model.Super-Scaffold_100013.618_1	P_fucata|Pma_10021751
OG0000009	A_granulata|evm.model.Super-Scaffold_505.825_1	P_fucata|Pma_10028191
OG0000009	A_granulata|evm.model.Super-Scaffold_505.1121_1, A_granulata|evm.model.Super-Scaffold_100006.676_1, A_granulata|evm.model.Super-Scaffold_505.1606_1	P_fucata|Pma_10012832
OG0000009	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1	P_fucata|Pma_325.96
OG0000011	A_granulata|model.g14860.t1_1	P_fucata|Pma_10023646
OG0000015	A_granulata|evm.model.Super-Scaffold_100057.39_1, A_granulata|model.g20494.t1_1	P_fucata|Pma_10020663
OG0000016	A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1	P_fucata|Pma_10013077, P_fucata|Pma_10013078, P_fucata|Pma_10021023, P_fucata|Pma_10013072, P_fucata|Pma_10017238, P_fucata|Pma_10013074, P_fucata|Pma_2.319, P_fucata|Pma_10002971, P_fucata|Pma_10026311, P_fucata|Pma_10019994, P_fucata|Pma_10020228, P_fucata|Pma_10026308, P_fucata|Pma_10017082, P_fucata|Pma_10010486, P_fucata|Pma_10005410, P_fucata|Pma_10026304, P_fucata|Pma_10026305, P_fucata|Pma_10026309, P_fucata|Pma_10002972, P_fucata|Pma_10027671
OG0000017	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934
OG0000019	A_granulata|model.g7414.t1_1	P_fucata|Pma_10027659
OG0000019	A_granulata|model.g14035.t1_1	P_fucata|Pma_10025141
OG0000019	A_granulata|model.g7451.t1_1	P_fucata|Pma_10004192
OG0000019	A_granulata|model.g11738.t1.5.5d3b86a4_1	P_fucata|Pma_10023026, P_fucata|Pma_10013841
OG0000019	A_granulata|model.g8205.t1_1	P_fucata|Pma_10003080
OG0000021	A_granulata|model.g31071.t1_1, A_granulata|evm.model.Super-Scaffold_100012.51_1	P_fucata|Pma_10021273, P_fucata|Pma_10007653, P_fucata|Pma_541.364, P_fucata|Pma_324.215, P_fucata|Pma_154.293, P_fucata|Pma_10004553, P_fucata|Pma_10031676, P_fucata|Pma_10018803, P_fucata|Pma_10018494, P_fucata|Pma_312.314, P_fucata|Pma_10025973, P_fucata|Pma_388.228, P_fucata|Pma_563.627, P_fucata|Pma_285.110, P_fucata|Pma_520.689, P_fucata|Pma_220.644, P_fucata|Pma_10001900, P_fucata|Pma_10011278, P_fucata|Pma_330.410, P_fucata|Pma_10004526, P_fucata|Pma_211.729, P_fucata|Pma_291.611, P_fucata|Pma_10000128
OG0000023	A_granulata|evm.model.Super-Scaffold_100002.117_1	P_fucata|Pma_10014854
OG0000024	A_granulata|evm.model.Super-Scaffold_100005.884_1	P_fucata|Pma_10012487
OG0000025	A_granulata|evm.model.Super-Scaffold_100008.679_1	P_fucata|Pma_10016699
OG0000026	A_granulata|evm.model.Super-Scaffold_100010.607_1	P_fucata|Pma_10004014
OG0000027	A_granulata|evm.model.Super-Scaffold_100013.373_1	P_fucata|Pma_10008115
OG0000028	A_granulata|evm.model.Super-Scaffold_100025.188_1	P_fucata|Pma_10025415
OG0000029	A_granulata|model.g2134.t1_1	P_fucata|Pma_10031590
OG0000030	A_granulata|model.g1298.t1_1	P_fucata|Pma_10019276
OG0000031	A_granulata|model.g100.t1_1	P_fucata|Pma_10004601
OG0000032	A_granulata|model.g501.t1_1	P_fucata|Pma_10001679
OG0000033	A_granulata|model.g1883.t1_1	P_fucata|Pma_10026789
OG0000034	A_granulata|model.g1662.t1_1	P_fucata|Pma_10032131
OG0000035	A_granulata|model.g3215.t1_1	P_fucata|Pma_10016128
OG0000036	A_granulata|model.g3997.t1_1	P_fucata|Pma_10028537
OG0000037	A_granulata|model.g4135.t1_1	P_fucata|Pma_10007898
OG0000038	A_granulata|model.g3909.t1_1	P_fucata|Pma_225.222
OG0000039	A_granulata|model.g5912.t1_1	P_fucata|Pma_10017118
OG0000040	A_granulata|model.g6072.t1_1	P_fucata|Pma_10009782
OG0000041	A_granulata|model.g8800.t1_1	P_fucata|Pma_10020132
OG0000042	A_granulata|model.g8671.t1_1	P_fucata|Pma_10002130
OG0000043	A_granulata|model.g9992.t1_1	P_fucata|Pma_10008006
OG0000044	A_granulata|model.g9597.t1_1	P_fucata|Pma_10030088
OG0000045	A_granulata|model.g11944.t1_1	P_fucata|Pma_10002234
OG0000046	A_granulata|model.g13152.t1_1	P_fucata|Pma_10027324
OG0000047	A_granulata|model.g15250.t1_1	P_fucata|Pma_10023216
OG0000048	A_granulata|model.g15596.t1_1	P_fucata|Pma_10003678
OG0000049	A_granulata|model.g17957.t1_1	P_fucata|Pma_10020653
OG0000050	A_granulata|model.g30402.t1_1	P_fucata|Pma_10006139
OG0000051	A_granulata|model.g29359.t1_1	P_fucata|Pma_10021729
OG0000052	A_granulata|model.g28777.t1_1	P_fucata|Pma_10014024
OG0000053	A_granulata|model.g29911.t1_1	P_fucata|Pma_10029871
OG0000054	A_granulata|model.g1284.t1.1.5d3b82d5_1	P_fucata|Pma_10029064
OG0000055	A_granulata|model.g2097.t1_1	P_fucata|Pma_10017450
OG0000056	A_granulata|model.g89.t1.1.5d3b81fd_1	P_fucata|Pma_10015971
OG0000057	A_granulata|model.g763.t1_model.g765.t1_1	P_fucata|Pma_10013840
OG0000058	A_granulata|model.g4291.t1_1	P_fucata|Pma_10014039
OG0000059	A_granulata|model.g6491.t1.1.5d3b8503_1	P_fucata|Pma_10022791
OG0000060	A_granulata|model.g7388.t1_1	P_fucata|Pma_10022841
OG0000061	A_granulata|model.g7604.t1.1.5d3b84b3_1	P_fucata|Pma_10032223
OG0000062	A_granulata|model.g8718.t1.1.5d3b85ae_1	P_fucata|Pma_10006927
OG0000063	A_granulata|model.g7299.t1_1	P_fucata|Pma_10026025
OG0000064	A_granulata|model.g13274.t1_1	P_fucata|Pma_10001281
OG0000065	A_granulata|model.g17523.t1_1	P_fucata|Pma_10008428
OG0000066	A_granulata|model.g17660.t1_1	P_fucata|Pma_10031684
OG0000067	A_granulata|model.g20823.t1_1	P_fucata|Pma_10022889
OG0000068	A_granulata|model.g29179.t1_1	P_fucata|Pma_10017451
OG0000069	A_granulata|model.g31682.t1_1	P_fucata|Pma_10015959
OG0000070	A_granulata|model.g32000.t1_1	P_fucata|Pma_10013995
