Orthogroup	A_granulata_2	O_bimaculoides_2
OG0000015	A_granulata|model.g11415.t1_1	O_bimaculoides|XP_014774750.1
OG0000015	A_granulata|evm.model.Super-Scaffold_100002.249_1	O_bimaculoides|XP_014789051.1
OG0000016	A_granulata|evm.model.Super-Scaffold_100003.698_1	O_bimaculoides|XP_014774772.1
OG0000017	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1	O_bimaculoides|XP_014773512.1, O_bimaculoides|XP_014783213.1, O_bimaculoides|XP_014788111.1, O_bimaculoides|XP_014790640.1, O_bimaculoides|XP_014790641.1, O_bimaculoides|XP_014787378.1, O_bimaculoides|XP_014790639.1, O_bimaculoides|XP_014768533.1
OG0000019	A_granulata|model.g11695.t1_1	O_bimaculoides|XP_014772300.1
OG0000019	A_granulata|model.g11738.t1.5.5d3b86a4_1, A_granulata|model.g8205.t1_1	O_bimaculoides|XP_014780698.1
OG0000020	A_granulata|model.g11218.t1_1, A_granulata|model.g27971.t1_1, A_granulata|model.g12669.t1_1, A_granulata|model.g11836.t1_1, A_granulata|model.g12028.t1_1, A_granulata|model.g12671.t1_1, A_granulata|model.g3103.t1_1, A_granulata|model.g29636.t1_1, A_granulata|evm.model.Super-Scaffold_100008.138_1, A_granulata|evm.model.Super-Scaffold_505.2085_1, A_granulata|model.g28815.t1_1, A_granulata|model.g12858.t1_1, A_granulata|model.g31254.t1.2.5d3b8d4b_1, A_granulata|model.g28987.t1_1, A_granulata|model.g30887.t1_1, A_granulata|evm.model.Super-Scaffold_505.316_1	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	A_granulata|evm.model.Super-Scaffold_100002.117_1	O_bimaculoides|XP_014787445.1
OG0000024	A_granulata|evm.model.Super-Scaffold_100005.884_1	O_bimaculoides|XP_014778891.1
OG0000025	A_granulata|evm.model.Super-Scaffold_100008.679_1	O_bimaculoides|XP_014789699.1
OG0000026	A_granulata|evm.model.Super-Scaffold_100010.607_1	O_bimaculoides|XP_014789426.1
OG0000027	A_granulata|evm.model.Super-Scaffold_100013.373_1	O_bimaculoides|XP_014788131.1
OG0000028	A_granulata|evm.model.Super-Scaffold_100025.188_1	O_bimaculoides|XP_014790475.1
OG0000029	A_granulata|model.g2134.t1_1	O_bimaculoides|XP_014772627.1
OG0000030	A_granulata|model.g1298.t1_1	O_bimaculoides|XP_014784674.1
OG0000031	A_granulata|model.g100.t1_1	O_bimaculoides|XP_014787618.1
OG0000032	A_granulata|model.g501.t1_1	O_bimaculoides|XP_014773878.1
OG0000033	A_granulata|model.g1883.t1_1	O_bimaculoides|XP_014769418.1
OG0000034	A_granulata|model.g1662.t1_1	O_bimaculoides|XP_014777276.1
OG0000035	A_granulata|model.g3215.t1_1	O_bimaculoides|XP_014772225.1
OG0000036	A_granulata|model.g3997.t1_1	O_bimaculoides|XP_014776166.1
OG0000037	A_granulata|model.g4135.t1_1	O_bimaculoides|XP_014785114.1
OG0000038	A_granulata|model.g3909.t1_1	O_bimaculoides|XP_014773522.1
OG0000039	A_granulata|model.g5912.t1_1	O_bimaculoides|XP_014772348.1
OG0000040	A_granulata|model.g6072.t1_1	O_bimaculoides|XP_014788148.1
OG0000041	A_granulata|model.g8800.t1_1	O_bimaculoides|XP_014773542.1
OG0000042	A_granulata|model.g8671.t1_1	O_bimaculoides|XP_014775340.1
OG0000043	A_granulata|model.g9992.t1_1	O_bimaculoides|XP_014783376.1
OG0000044	A_granulata|model.g9597.t1_1	O_bimaculoides|XP_014767759.1
OG0000045	A_granulata|model.g11944.t1_1	O_bimaculoides|XP_014774176.1
OG0000046	A_granulata|model.g13152.t1_1	O_bimaculoides|XP_014772041.1
OG0000047	A_granulata|model.g15250.t1_1	O_bimaculoides|XP_014770126.1
OG0000048	A_granulata|model.g15596.t1_1	O_bimaculoides|XP_014783673.1
OG0000049	A_granulata|model.g17957.t1_1	O_bimaculoides|XP_014790578.1
OG0000050	A_granulata|model.g30402.t1_1	O_bimaculoides|XP_014773139.1
OG0000051	A_granulata|model.g29359.t1_1	O_bimaculoides|XP_014776868.1
OG0000052	A_granulata|model.g28777.t1_1	O_bimaculoides|XP_014790391.1
OG0000053	A_granulata|model.g29911.t1_1	O_bimaculoides|XP_014778145.1
OG0000054	A_granulata|model.g1284.t1.1.5d3b82d5_1	O_bimaculoides|XP_014779552.1
OG0000055	A_granulata|model.g2097.t1_1	O_bimaculoides|XP_014775648.1
OG0000056	A_granulata|model.g89.t1.1.5d3b81fd_1	O_bimaculoides|XP_014783300.1
OG0000057	A_granulata|model.g763.t1_model.g765.t1_1	O_bimaculoides|XP_014774168.1
OG0000058	A_granulata|model.g4291.t1_1	O_bimaculoides|XP_014785555.1
OG0000059	A_granulata|model.g6491.t1.1.5d3b8503_1	O_bimaculoides|XP_014789933.1
OG0000060	A_granulata|model.g7388.t1_1	O_bimaculoides|XP_014776694.1
OG0000061	A_granulata|model.g7604.t1.1.5d3b84b3_1	O_bimaculoides|XP_014790210.1
OG0000062	A_granulata|model.g8718.t1.1.5d3b85ae_1	O_bimaculoides|XP_014772987.1
OG0000063	A_granulata|model.g7299.t1_1	O_bimaculoides|XP_014776218.1
OG0000064	A_granulata|model.g13274.t1_1	O_bimaculoides|XP_014783678.1
OG0000065	A_granulata|model.g17523.t1_1	O_bimaculoides|XP_014772273.1
OG0000066	A_granulata|model.g17660.t1_1	O_bimaculoides|XP_014778623.1
OG0000067	A_granulata|model.g20823.t1_1	O_bimaculoides|XP_014771836.1
OG0000068	A_granulata|model.g29179.t1_1	O_bimaculoides|XP_014789121.1
OG0000069	A_granulata|model.g31682.t1_1	O_bimaculoides|XP_014772840.1
OG0000070	A_granulata|model.g32000.t1_1	O_bimaculoides|XP_014789614.1
