HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N4.HOG0000010	OG0000004	n1		B_glabrata|XP_013091058.1						
N4.HOG0000011	OG0000004	n104		B_glabrata|XP_013086610.1			L_gigantea|XP_009061714.1, L_gigantea|XP_009061776.1			
N4.HOG0000012	OG0000004	n106		B_glabrata|XP_013062440.1, B_glabrata|XP_013089298.1, B_glabrata|XP_013093169.1			L_gigantea|XP_009061781.1			
N4.HOG0000013	OG0000005	n0		B_glabrata|XP_013060748.1, B_glabrata|XP_013060749.1, B_glabrata|XP_013060750.1, B_glabrata|XP_013060751.1, B_glabrata|XP_013060752.1, B_glabrata|XP_013060753.1, B_glabrata|XP_013061378.1, B_glabrata|XP_013061765.1, B_glabrata|XP_013062259.1, B_glabrata|XP_013063792.1, B_glabrata|XP_013063815.1, B_glabrata|XP_013064133.1, B_glabrata|XP_013064687.1, B_glabrata|XP_013064834.1, B_glabrata|XP_013065598.1, B_glabrata|XP_013065599.1, B_glabrata|XP_013065601.1, B_glabrata|XP_013065602.1, B_glabrata|XP_013065603.1, B_glabrata|XP_013065689.1, B_glabrata|XP_013065800.1, B_glabrata|XP_013066216.1, B_glabrata|XP_013066356.1, B_glabrata|XP_013066380.1, B_glabrata|XP_013067980.1, B_glabrata|XP_013068909.1, B_glabrata|XP_013068910.1, B_glabrata|XP_013068911.1, B_glabrata|XP_013068912.1, B_glabrata|XP_013068923.1, B_glabrata|XP_013070490.1, B_glabrata|XP_013070912.1, B_glabrata|XP_013070931.1, B_glabrata|XP_013070941.1, B_glabrata|XP_013071039.1, B_glabrata|XP_013071040.1, B_glabrata|XP_013072739.1, B_glabrata|XP_013072793.1, B_glabrata|XP_013072794.1, B_glabrata|XP_013072938.1, B_glabrata|XP_013073022.1, B_glabrata|XP_013073127.1, B_glabrata|XP_013073621.1, B_glabrata|XP_013073839.1, B_glabrata|XP_013074238.1, B_glabrata|XP_013075477.1, B_glabrata|XP_013075511.1, B_glabrata|XP_013075681.1, B_glabrata|XP_013075900.1, B_glabrata|XP_013076040.1, B_glabrata|XP_013076081.1, B_glabrata|XP_013076118.1, B_glabrata|XP_013076119.1, B_glabrata|XP_013076490.1, B_glabrata|XP_013076820.1, B_glabrata|XP_013076976.1, B_glabrata|XP_013076977.1, B_glabrata|XP_013077191.1, B_glabrata|XP_013077360.1, B_glabrata|XP_013077835.1, B_glabrata|XP_013077843.1, B_glabrata|XP_013077931.1, B_glabrata|XP_013078205.1, B_glabrata|XP_013078857.1, B_glabrata|XP_013079575.1, B_glabrata|XP_013079821.1, B_glabrata|XP_013079822.1, B_glabrata|XP_013079823.1, B_glabrata|XP_013079824.1, B_glabrata|XP_013079825.1, B_glabrata|XP_013079826.1, B_glabrata|XP_013079939.1, B_glabrata|XP_013080113.1, B_glabrata|XP_013080139.1, B_glabrata|XP_013080600.1, B_glabrata|XP_013081547.1, B_glabrata|XP_013081639.1, B_glabrata|XP_013081961.1, B_glabrata|XP_013081962.1, B_glabrata|XP_013081963.1, B_glabrata|XP_013081965.1, B_glabrata|XP_013082453.1, B_glabrata|XP_013082529.1, B_glabrata|XP_013082539.1, B_glabrata|XP_013082780.1, B_glabrata|XP_013082945.1, B_glabrata|XP_013083094.1, B_glabrata|XP_013083115.1, B_glabrata|XP_013083285.1, B_glabrata|XP_013083331.1, B_glabrata|XP_013083470.1, B_glabrata|XP_013083635.1, B_glabrata|XP_013084274.1, B_glabrata|XP_013085672.1, B_glabrata|XP_013085673.1, B_glabrata|XP_013085869.1, B_glabrata|XP_013086084.1, B_glabrata|XP_013087274.1, B_glabrata|XP_013088025.1, B_glabrata|XP_013088661.1, B_glabrata|XP_013088875.1, B_glabrata|XP_013088913.1, B_glabrata|XP_013088914.1, B_glabrata|XP_013088915.1, B_glabrata|XP_013089007.1, B_glabrata|XP_013089113.1, B_glabrata|XP_013089173.1, B_glabrata|XP_013089577.1, B_glabrata|XP_013089597.1, B_glabrata|XP_013089599.1, B_glabrata|XP_013089696.1, B_glabrata|XP_013089697.1, B_glabrata|XP_013090038.1, B_glabrata|XP_013090255.1, B_glabrata|XP_013090256.1, B_glabrata|XP_013090257.1, B_glabrata|XP_013090258.1, B_glabrata|XP_013090259.1, B_glabrata|XP_013090260.1, B_glabrata|XP_013090262.1, B_glabrata|XP_013090263.1, B_glabrata|XP_013090264.1, B_glabrata|XP_013090871.1, B_glabrata|XP_013091101.1, B_glabrata|XP_013091977.1, B_glabrata|XP_013092206.1, B_glabrata|XP_013092332.1, B_glabrata|XP_013092334.1, B_glabrata|XP_013092510.1, B_glabrata|XP_013092710.1, B_glabrata|XP_013092714.1, B_glabrata|XP_013092831.1, B_glabrata|XP_013093140.1, B_glabrata|XP_013093186.1, B_glabrata|XP_013093212.1, B_glabrata|XP_013093286.1, B_glabrata|XP_013093295.1, B_glabrata|XP_013093447.1, B_glabrata|XP_013093534.1, B_glabrata|XP_013093829.1, B_glabrata|XP_013093930.1, B_glabrata|XP_013094255.1, B_glabrata|XP_013094513.1, B_glabrata|XP_013094572.1, B_glabrata|XP_013095252.1, B_glabrata|XP_013095595.1, B_glabrata|XP_013095633.1, B_glabrata|XP_013095634.1, B_glabrata|XP_013095635.1, B_glabrata|XP_013095637.1, B_glabrata|XP_013095639.1, B_glabrata|XP_013095830.1, B_glabrata|XP_013096201.1, B_glabrata|XP_013096365.1, B_glabrata|XP_013096443.1, B_glabrata|XP_013096743.1, B_glabrata|XP_013096891.1						
N4.HOG0000014	OG0000007	n7					L_gigantea|XP_009046443.1			
N4.HOG0000015	OG0000007	n9					L_gigantea|XP_009046442.1			
N4.HOG0000016	OG0000007	n13		B_glabrata|XP_013075772.1			L_gigantea|XP_009046440.1			
N4.HOG0000017	OG0000007	n28		B_glabrata|XP_013082066.1						
N4.HOG0000018	OG0000007	n33					L_gigantea|XP_009052766.1			
N4.HOG0000019	OG0000007	n42					L_gigantea|XP_009055159.1			
N4.HOG0000020	OG0000007	n43		B_glabrata|XP_013090876.1			L_gigantea|XP_009055160.1			
N4.HOG0000021	OG0000007	n44		B_glabrata|XP_013079326.1						
N4.HOG0000022	OG0000007	n49					L_gigantea|XP_009063633.1			
N4.HOG0000023	OG0000007	n53					L_gigantea|XP_009046437.1			
N4.HOG0000024	OG0000007	n62		B_glabrata|XP_013085966.1						
N4.HOG0000025	OG0000007	n63		B_glabrata|XP_013073864.1			L_gigantea|XP_009046446.1			
N4.HOG0000026	OG0000007	n65		B_glabrata|XP_013081957.1			L_gigantea|XP_009065435.1			
N4.HOG0000027	OG0000007	n76					L_gigantea|XP_009046439.1			
N4.HOG0000028	OG0000007	n79					L_gigantea|XP_009046438.1			
N4.HOG0000029	OG0000007	n83		B_glabrata|XP_013082062.1			L_gigantea|XP_009065436.1			
N4.HOG0000030	OG0000007	n92		B_glabrata|XP_013063618.1			L_gigantea|XP_009046479.1			
N4.HOG0000031	OG0000007	n104					L_gigantea|XP_009065931.1			
N4.HOG0000032	OG0000007	n105					L_gigantea|XP_009065930.1			
N4.HOG0000033	OG0000007	n108					L_gigantea|XP_009046441.1			
N4.HOG0000034	OG0000007	n115		B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1			L_gigantea|XP_009046445.1			
N4.HOG0000035	OG0000007	n121					L_gigantea|XP_009046444.1			
N4.HOG0000036	OG0000009	n3					L_gigantea|XP_009058738.1			
N4.HOG0000037	OG0000009	n5		B_glabrata|XP_013076273.1			L_gigantea|XP_009044518.1			
N4.HOG0000038	OG0000009	n11					L_gigantea|XP_009055766.1, L_gigantea|XP_009064105.1			
N4.HOG0000039	OG0000009	n19		B_glabrata|XP_013074409.1			L_gigantea|XP_009051792.1			
N4.HOG0000040	OG0000009	n27		B_glabrata|XP_013063268.1, B_glabrata|XP_013080003.1, B_glabrata|XP_013094576.1			L_gigantea|XP_009046723.1, L_gigantea|XP_009058115.1			
N4.HOG0000041	OG0000009	n36		B_glabrata|XP_013062473.1			L_gigantea|XP_009059556.1			
N4.HOG0000042	OG0000009	n39		B_glabrata|XP_013064161.1, B_glabrata|XP_013091514.1, B_glabrata|XP_013093678.1						
N4.HOG0000043	OG0000009	n47					L_gigantea|XP_009044627.1			
N4.HOG0000044	OG0000009	n55					L_gigantea|XP_009057810.1			
N4.HOG0000045	OG0000009	n68					L_gigantea|XP_009064159.1			
N4.HOG0000046	OG0000009	n69		B_glabrata|XP_013063303.1			L_gigantea|XP_009053527.1			
N4.HOG0000047	OG0000009	n78		B_glabrata|XP_013082520.1			L_gigantea|XP_009053915.1			
N4.HOG0000048	OG0000009	n85		B_glabrata|XP_013071348.1						
N4.HOG0000049	OG0000011	n2		B_glabrata|XP_013083200.1			L_gigantea|XP_009053022.1			
N4.HOG0000050	OG0000011	n8		B_glabrata|XP_013092586.1			L_gigantea|XP_009044047.1			
N4.HOG0000051	OG0000015	n2		B_glabrata|XP_013076970.1			L_gigantea|XP_009047434.1			
N4.HOG0000052	OG0000015	n7					L_gigantea|XP_009049765.1			
N4.HOG0000053	OG0000015	n13		B_glabrata|XP_013076722.1, B_glabrata|XP_013090484.1						
N4.HOG0000054	OG0000015	n61		B_glabrata|XP_013077189.1			L_gigantea|XP_009052518.1			
N4.HOG0000055	OG0000016	n9		B_glabrata|XP_013062374.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013068640.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013096412.1			L_gigantea|XP_009066031.1			
N4.HOG0000056	OG0000017	n1		B_glabrata|XP_013083785.1			L_gigantea|XP_009054246.1			
N4.HOG0000057	OG0000017	n21		B_glabrata|XP_013062034.1, B_glabrata|XP_013062035.1, B_glabrata|XP_013065857.1, B_glabrata|XP_013065863.1, B_glabrata|XP_013065892.1, B_glabrata|XP_013065893.1, B_glabrata|XP_013065895.1, B_glabrata|XP_013077200.1, B_glabrata|XP_013077202.1, B_glabrata|XP_013078946.1, B_glabrata|XP_013079385.1, B_glabrata|XP_013079394.1, B_glabrata|XP_013080598.1, B_glabrata|XP_013080599.1, B_glabrata|XP_013093165.1			L_gigantea|XP_009061494.1			
N4.HOG0000058	OG0000018	n0					L_gigantea|XP_009055411.1			
N4.HOG0000059	OG0000019	n3		B_glabrata|XP_013085161.1			L_gigantea|XP_009050388.1			
N4.HOG0000060	OG0000019	n11		B_glabrata|XP_013083944.1			L_gigantea|XP_009059734.1			
N4.HOG0000061	OG0000019	n19		B_glabrata|XP_013072245.1			L_gigantea|XP_009062371.1			
N4.HOG0000062	OG0000019	n28					L_gigantea|XP_009054782.1			
N4.HOG0000063	OG0000019	n30					L_gigantea|XP_009053791.1			
N4.HOG0000064	OG0000019	n37					L_gigantea|XP_009057899.1			
N4.HOG0000065	OG0000019	n42					L_gigantea|XP_009044088.1, L_gigantea|XP_009063508.1			
N4.HOG0000066	OG0000019	n46		B_glabrata|XP_013063444.1						
N4.HOG0000067	OG0000019	n48					L_gigantea|XP_009056958.1			
N4.HOG0000068	OG0000019	n53					L_gigantea|XP_009047890.1			
N4.HOG0000069	OG0000020	n12		B_glabrata|XP_013063795.1						
N4.HOG0000070	OG0000020	n16					L_gigantea|XP_009057758.1			
N4.HOG0000071	OG0000020	n19					L_gigantea|XP_009046332.1, L_gigantea|XP_009046333.1, L_gigantea|XP_009046334.1			
N4.HOG0000072	OG0000020	n37		B_glabrata|XP_013079560.1, B_glabrata|XP_013082920.1			L_gigantea|XP_009047653.1, L_gigantea|XP_009051451.1, L_gigantea|XP_009051452.1, L_gigantea|XP_009054607.1, L_gigantea|XP_009059079.1			
N4.HOG0000073	OG0000021	n4					L_gigantea|XP_009061998.1			
N4.HOG0000074	OG0000021	n34					L_gigantea|XP_009045657.1, L_gigantea|XP_009053740.1			
N4.HOG0000075	OG0000023	n0		B_glabrata|XP_013069100.1			L_gigantea|XP_009044903.1			
N4.HOG0000076	OG0000024	n0		B_glabrata|XP_013079153.1			L_gigantea|XP_009056746.1			
N4.HOG0000077	OG0000025	n0		B_glabrata|XP_013070418.1			L_gigantea|XP_009048639.1			
N4.HOG0000078	OG0000026	n0		B_glabrata|XP_013085147.1			L_gigantea|XP_009051788.1			
N4.HOG0000079	OG0000027	n0		B_glabrata|XP_013079423.1			L_gigantea|XP_009058327.1			
N4.HOG0000080	OG0000028	n0		B_glabrata|XP_013064541.1			L_gigantea|XP_009050366.1			
N4.HOG0000081	OG0000029	n0		B_glabrata|XP_013084231.1			L_gigantea|XP_009051479.1			
N4.HOG0000082	OG0000030	n0		B_glabrata|XP_013088149.1			L_gigantea|XP_009051490.1			
N4.HOG0000083	OG0000031	n0		B_glabrata|XP_013061816.1			L_gigantea|XP_009055442.1			
N4.HOG0000084	OG0000032	n0		B_glabrata|XP_013081362.1			L_gigantea|XP_009048498.1			
N4.HOG0000085	OG0000033	n0		B_glabrata|XP_013091381.1			L_gigantea|XP_009056300.1			
N4.HOG0000086	OG0000034	n0		B_glabrata|XP_013078957.1			L_gigantea|XP_009054295.1			
N4.HOG0000087	OG0000035	n0		B_glabrata|XP_013075562.1			L_gigantea|XP_009063552.1			
N4.HOG0000088	OG0000036	n0		B_glabrata|XP_013064900.1			L_gigantea|XP_009048015.1			
N4.HOG0000089	OG0000037	n0		B_glabrata|XP_013085046.1			L_gigantea|XP_009045422.1			
N4.HOG0000090	OG0000038	n0		B_glabrata|XP_013077767.1			L_gigantea|XP_009067307.1			
N4.HOG0000091	OG0000039	n0		B_glabrata|XP_013086056.1			L_gigantea|XP_009046521.1			
N4.HOG0000092	OG0000040	n0		B_glabrata|XP_013079984.1			L_gigantea|XP_009047712.1			
N4.HOG0000093	OG0000041	n0		B_glabrata|XP_013075181.1			L_gigantea|XP_009050006.1			
N4.HOG0000094	OG0000042	n0		B_glabrata|XP_013068776.1			L_gigantea|XP_009062528.1			
N4.HOG0000095	OG0000043	n0		B_glabrata|XP_013064636.1			L_gigantea|XP_009045632.1			
N4.HOG0000096	OG0000044	n0		B_glabrata|XP_013096019.1			L_gigantea|XP_009057767.1			
N4.HOG0000097	OG0000045	n0		B_glabrata|XP_013086308.1			L_gigantea|XP_009043858.1			
N4.HOG0000098	OG0000046	n0		B_glabrata|XP_013066099.1			L_gigantea|XP_009060904.1			
N4.HOG0000099	OG0000047	n0		B_glabrata|XP_013082575.1			L_gigantea|XP_009059115.1			
N4.HOG0000100	OG0000048	n0		B_glabrata|XP_013086900.1			L_gigantea|XP_009064850.1			
N4.HOG0000101	OG0000049	n0		B_glabrata|XP_013067132.1			L_gigantea|XP_009043632.1			
N4.HOG0000102	OG0000050	n0		B_glabrata|XP_013095945.1			L_gigantea|XP_009053420.1			
N4.HOG0000103	OG0000051	n0		B_glabrata|XP_013090147.1			L_gigantea|XP_009050923.1			
N4.HOG0000104	OG0000052	n0		B_glabrata|XP_013088196.1			L_gigantea|XP_009054282.1			
N4.HOG0000105	OG0000053	n0		B_glabrata|XP_013067251.1			L_gigantea|XP_009066668.1			
N4.HOG0000106	OG0000054	n0		B_glabrata|XP_013065711.1			L_gigantea|XP_009044613.1			
N4.HOG0000107	OG0000055	n0		B_glabrata|XP_013087945.1			L_gigantea|XP_009066700.1			
N4.HOG0000108	OG0000056	n0		B_glabrata|XP_013082149.1			L_gigantea|XP_009054866.1			
N4.HOG0000109	OG0000057	n0		B_glabrata|XP_013065610.1			L_gigantea|XP_009047623.1			
N4.HOG0000110	OG0000058	n0		B_glabrata|XP_013076231.1			L_gigantea|XP_009060107.1			
N4.HOG0000111	OG0000059	n0		B_glabrata|XP_013083411.1			L_gigantea|XP_009060271.1			
N4.HOG0000112	OG0000060	n0		B_glabrata|XP_013072764.1			L_gigantea|XP_009056650.1			
N4.HOG0000113	OG0000061	n0		B_glabrata|XP_013096882.1			L_gigantea|XP_009053673.1			
N4.HOG0000114	OG0000062	n0		B_glabrata|XP_013065247.1			L_gigantea|XP_009059459.1			
N4.HOG0000115	OG0000063	n0		B_glabrata|XP_013084385.1			L_gigantea|XP_009053421.1			
N4.HOG0000116	OG0000064	n0		B_glabrata|XP_013061978.1			L_gigantea|XP_009051192.1			
N4.HOG0000117	OG0000065	n0		B_glabrata|XP_013084680.1			L_gigantea|XP_009050443.1			
N4.HOG0000118	OG0000066	n0		B_glabrata|XP_013080185.1			L_gigantea|XP_009046288.1			
N4.HOG0000119	OG0000067	n0		B_glabrata|XP_013070700.1			L_gigantea|XP_009050729.1			
N4.HOG0000120	OG0000068	n0		B_glabrata|XP_013071542.1			L_gigantea|XP_009064827.1			
N4.HOG0000121	OG0000069	n0		B_glabrata|XP_013063965.1			L_gigantea|XP_009048448.1			
N4.HOG0000122	OG0000070	n0		B_glabrata|XP_013067166.1			L_gigantea|XP_009063619.1			
N4.HOG0000123	OG0000073	-		B_glabrata|XP_013074268.1			L_gigantea|XP_009053293.1			
