HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N5.HOG0000021	OG0000004	n101			C_virginica|XP_022286479.1, C_virginica|XP_022286717.1, C_virginica|XP_022287415.1, C_virginica|XP_022287464.1, C_virginica|XP_022288574.1, C_virginica|XP_022288791.1, C_virginica|XP_022289418.1, C_virginica|XP_022289447.1, C_virginica|XP_022289654.1, C_virginica|XP_022289706.1, C_virginica|XP_022289715.1, C_virginica|XP_022289727.1, C_virginica|XP_022289935.1, C_virginica|XP_022289938.1, C_virginica|XP_022289949.1, C_virginica|XP_022289967.1, C_virginica|XP_022290289.1, C_virginica|XP_022290581.1, C_virginica|XP_022290620.1, C_virginica|XP_022290649.1, C_virginica|XP_022292876.1, C_virginica|XP_022294925.1, C_virginica|XP_022297668.1, C_virginica|XP_022303399.1, C_virginica|XP_022305270.1, C_virginica|XP_022305518.1, C_virginica|XP_022306155.1, C_virginica|XP_022306229.1, C_virginica|XP_022306742.1, C_virginica|XP_022306746.1, C_virginica|XP_022306748.1, C_virginica|XP_022306863.1, C_virginica|XP_022306864.1, C_virginica|XP_022307060.1, C_virginica|XP_022307062.1, C_virginica|XP_022307426.1, C_virginica|XP_022307677.1, C_virginica|XP_022307682.1, C_virginica|XP_022307702.1, C_virginica|XP_022307722.1, C_virginica|XP_022307726.1, C_virginica|XP_022307728.1, C_virginica|XP_022307729.1, C_virginica|XP_022307732.1, C_virginica|XP_022307742.1, C_virginica|XP_022307756.1, C_virginica|XP_022307760.1, C_virginica|XP_022307761.1, C_virginica|XP_022307769.1, C_virginica|XP_022307839.1, C_virginica|XP_022307877.1, C_virginica|XP_022307885.1, C_virginica|XP_022307962.1, C_virginica|XP_022308427.1, C_virginica|XP_022308432.1, C_virginica|XP_022308442.1, C_virginica|XP_022308515.1, C_virginica|XP_022309374.1, C_virginica|XP_022309512.1, C_virginica|XP_022309653.1, C_virginica|XP_022309654.1, C_virginica|XP_022309655.1, C_virginica|XP_022309673.1, C_virginica|XP_022309677.1, C_virginica|XP_022309678.1, C_virginica|XP_022309687.1, C_virginica|XP_022309842.1, C_virginica|XP_022310311.1				P_fucata|Pma_10021546	
N5.HOG0000022	OG0000006	n0							P_fucata|Pma_10002083	
N5.HOG0000023	OG0000007	n4			C_virginica|XP_022308431.1				P_fucata|Pma_10017847	S_constricta|evm.model.ctg436.5
N5.HOG0000024	OG0000007	n13			C_virginica|XP_022307961.1				P_fucata|Pma_10010607, P_fucata|Pma_532.177	S_constricta|evm.model.ctg412.18
N5.HOG0000025	OG0000007	n28							P_fucata|Pma_10023862	
N5.HOG0000026	OG0000007	n41			C_virginica|XP_022319262.1					
N5.HOG0000027	OG0000007	n44			C_virginica|XP_022316903.1				P_fucata|Pma_10001157	S_constricta|evm.model.ctg380.19, S_constricta|evm.model.ctg76.75
N5.HOG0000028	OG0000007	n49			C_virginica|XP_022286090.1					S_constricta|evm.model.ctg2181.2
N5.HOG0000029	OG0000007	n53			C_virginica|XP_022291943.1					S_constricta|evm.model.ctg412.15
N5.HOG0000030	OG0000007	n62							P_fucata|Pma_10004348	
N5.HOG0000031	OG0000007	n63							P_fucata|Pma_10009355	
N5.HOG0000032	OG0000007	n65			C_virginica|XP_022326937.1				P_fucata|Pma_10023863	S_constricta|evm.model.ctg306.3
N5.HOG0000033	OG0000007	n76			C_virginica|XP_022292027.1				P_fucata|Pma_10030419	S_constricta|evm.model.ctg412.17
N5.HOG0000034	OG0000007	n79			C_virginica|XP_022289925.1				P_fucata|Pma_10006875, P_fucata|Pma_207.322	
N5.HOG0000035	OG0000007	n83			C_virginica|XP_022328330.1				P_fucata|Pma_10007466, P_fucata|Pma_10016649, P_fucata|Pma_10023861	S_constricta|evm.model.ctg306.4
N5.HOG0000036	OG0000007	n92			C_virginica|XP_022324615.1				P_fucata|Pma_10016536	
N5.HOG0000037	OG0000007	n100							P_fucata|Pma_10032672	
N5.HOG0000038	OG0000007	n106			C_virginica|XP_022320319.1, C_virginica|XP_022320653.1				P_fucata|Pma_10027249	
N5.HOG0000039	OG0000007	n108			C_virginica|XP_022340779.1				P_fucata|Pma_10017849	
N5.HOG0000040	OG0000007	n115			C_virginica|XP_022309837.1				P_fucata|Pma_10008710	S_constricta|evm.model.ctg436.1
N5.HOG0000041	OG0000007	n121			C_virginica|XP_022342129.1					S_constricta|evm.model.ctg436.4
N5.HOG0000042	OG0000008	n0			C_virginica|XP_022328162.1, C_virginica|XP_022336556.1				P_fucata|Pma_10000381, P_fucata|Pma_10000932, P_fucata|Pma_10001198, P_fucata|Pma_10001272, P_fucata|Pma_10001395, P_fucata|Pma_10002023, P_fucata|Pma_10002741, P_fucata|Pma_10002834, P_fucata|Pma_10002973, P_fucata|Pma_10005046, P_fucata|Pma_10005415, P_fucata|Pma_10005503, P_fucata|Pma_10005812, P_fucata|Pma_10005838, P_fucata|Pma_10006437, P_fucata|Pma_10006710, P_fucata|Pma_10007564, P_fucata|Pma_10009170, P_fucata|Pma_10009276, P_fucata|Pma_10009288, P_fucata|Pma_10009788, P_fucata|Pma_10010065, P_fucata|Pma_10010252, P_fucata|Pma_10010336, P_fucata|Pma_10010358, P_fucata|Pma_10010850, P_fucata|Pma_10011400, P_fucata|Pma_10011413, P_fucata|Pma_10011621, P_fucata|Pma_10011701, P_fucata|Pma_10012164, P_fucata|Pma_10012601, P_fucata|Pma_10012813, P_fucata|Pma_10012983, P_fucata|Pma_10013104, P_fucata|Pma_10013457, P_fucata|Pma_10013957, P_fucata|Pma_10014031, P_fucata|Pma_10014274, P_fucata|Pma_10014331, P_fucata|Pma_10014442, P_fucata|Pma_10014461, P_fucata|Pma_10014641, P_fucata|Pma_10014823, P_fucata|Pma_10015213, P_fucata|Pma_10015220, P_fucata|Pma_10015719, P_fucata|Pma_10015948, P_fucata|Pma_10016205, P_fucata|Pma_10016550, P_fucata|Pma_10016596, P_fucata|Pma_10016756, P_fucata|Pma_10016906, P_fucata|Pma_10017036, P_fucata|Pma_10017267, P_fucata|Pma_10017727, P_fucata|Pma_10017760, P_fucata|Pma_10018460, P_fucata|Pma_10018523, P_fucata|Pma_10018601, P_fucata|Pma_10018689, P_fucata|Pma_10018762, P_fucata|Pma_10018764, P_fucata|Pma_10018782, P_fucata|Pma_10020755, P_fucata|Pma_10020872, P_fucata|Pma_10021130, P_fucata|Pma_10021257, P_fucata|Pma_10021364, P_fucata|Pma_10021465, P_fucata|Pma_10021487, P_fucata|Pma_10021591, P_fucata|Pma_10022256, P_fucata|Pma_10022527, P_fucata|Pma_10022931, P_fucata|Pma_10023276, P_fucata|Pma_10023630, P_fucata|Pma_10023717, P_fucata|Pma_10024277, P_fucata|Pma_10024322, P_fucata|Pma_10025202, P_fucata|Pma_10025225, P_fucata|Pma_10025403, P_fucata|Pma_10025714, P_fucata|Pma_10025742, P_fucata|Pma_10026145, P_fucata|Pma_10026194, P_fucata|Pma_10026204, P_fucata|Pma_10026497, P_fucata|Pma_10026499, P_fucata|Pma_10027002, P_fucata|Pma_10027521, P_fucata|Pma_10027590, P_fucata|Pma_10027927, P_fucata|Pma_10028024, P_fucata|Pma_10028195, P_fucata|Pma_10028243, P_fucata|Pma_10028861, P_fucata|Pma_10028987, P_fucata|Pma_10029267, P_fucata|Pma_10029566, P_fucata|Pma_10029621, P_fucata|Pma_10029625, P_fucata|Pma_10029961, P_fucata|Pma_10030000, P_fucata|Pma_10030056, P_fucata|Pma_10030532, P_fucata|Pma_10031329, P_fucata|Pma_10031879, P_fucata|Pma_10031891, P_fucata|Pma_10032283, P_fucata|Pma_10032441, P_fucata|Pma_10032536, P_fucata|Pma_10032670, P_fucata|Pma_125.33, P_fucata|Pma_137.648	
N5.HOG0000043	OG0000009	n5			C_virginica|XP_022335688.1				P_fucata|Pma_10032418	
N5.HOG0000044	OG0000009	n11			C_virginica|XP_022316864.1				P_fucata|Pma_10006517	S_constricta|evm.model.ctg76.11
N5.HOG0000045	OG0000009	n19							P_fucata|Pma_10012721, P_fucata|Pma_10025848	S_constricta|evm.model.ctg67.88
N5.HOG0000046	OG0000009	n27			C_virginica|XP_022308211.1				P_fucata|Pma_10011588	S_constricta|evm.model.ctg1628.1, S_constricta|evm.model.ctg1696.4, S_constricta|evm.model.ctg6192.1
N5.HOG0000047	OG0000009	n38			C_virginica|XP_022336489.1				P_fucata|Pma_2.186	
N5.HOG0000048	OG0000009	n39							P_fucata|Pma_10020874	S_constricta|evm.model.ctg300.11, S_constricta|evm.model.ctg4423.1
N5.HOG0000049	OG0000009	n47			C_virginica|XP_022299766.1				P_fucata|Pma_10019736, P_fucata|Pma_10021751	S_constricta|evm.model.ctg138.15, S_constricta|evm.model.ctg885.2
N5.HOG0000050	OG0000009	n55			C_virginica|XP_022335661.1				P_fucata|Pma_10028191	
N5.HOG0000051	OG0000009	n59			C_virginica|XP_022338842.1, C_virginica|XP_022338942.1					S_constricta|evm.model.ctg6778.1
N5.HOG0000052	OG0000009	n69							P_fucata|Pma_10012832	S_constricta|evm.model.ctg923.6
N5.HOG0000053	OG0000009	n78			C_virginica|XP_022286105.1, C_virginica|XP_022346077.1					S_constricta|evm.model.ctg1144.9
N5.HOG0000054	OG0000009	n85			C_virginica|XP_022338373.1, C_virginica|XP_022338900.1				P_fucata|Pma_325.96	
N5.HOG0000055	OG0000011	n2							P_fucata|Pma_10023646	S_constricta|evm.model.ctg366.24
N5.HOG0000056	OG0000011	n12								S_constricta|evm.model.ctg1157.14, S_constricta|evm.model.ctg1197.1, S_constricta|evm.model.ctg1204.8, S_constricta|evm.model.ctg1280.10, S_constricta|evm.model.ctg1280.6, S_constricta|evm.model.ctg1280.8, S_constricta|evm.model.ctg1814.1, S_constricta|evm.model.ctg2037.2, S_constricta|evm.model.ctg2148.3, S_constricta|evm.model.ctg2148.4, S_constricta|evm.model.ctg2243.4, S_constricta|evm.model.ctg2608.3.1, S_constricta|evm.model.ctg3075.1, S_constricta|evm.model.ctg3160.1, S_constricta|evm.model.ctg3389.3, S_constricta|evm.model.ctg3437.4, S_constricta|evm.model.ctg4062.2.1, S_constricta|evm.model.ctg748.3, S_constricta|evm.model.ctg748.4, S_constricta|evm.model.ctg8738.1
N5.HOG0000057	OG0000011	n32								S_constricta|evm.model.ctg1189.4, S_constricta|evm.model.ctg1189.6, S_constricta|evm.model.ctg1950.1, S_constricta|evm.model.ctg2747.1, S_constricta|evm.model.ctg2960.1
N5.HOG0000058	OG0000011	n38								S_constricta|evm.model.ctg1031.1, S_constricta|evm.model.ctg1031.2, S_constricta|evm.model.ctg1031.5, S_constricta|evm.model.ctg1163.1, S_constricta|evm.model.ctg1163.2, S_constricta|evm.model.ctg1163.3, S_constricta|evm.model.ctg1163.4, S_constricta|evm.model.ctg1414.8.1, S_constricta|evm.model.ctg1728.1.5, S_constricta|evm.model.ctg1905.4, S_constricta|evm.model.ctg1905.5, S_constricta|evm.model.ctg1905.6, S_constricta|evm.model.ctg2250.2, S_constricta|evm.model.ctg2900.1, S_constricta|evm.model.ctg2900.2, S_constricta|evm.model.ctg2935.2, S_constricta|evm.model.ctg3105.3, S_constricta|evm.model.ctg3234.1, S_constricta|evm.model.ctg3583.1, S_constricta|evm.model.ctg3583.2, S_constricta|evm.model.ctg5056.3, S_constricta|evm.model.ctg9031.1
N5.HOG0000059	OG0000011	n60							P_fucata|Pma_10011539	S_constricta|evm.model.ctg1173.5, S_constricta|evm.model.ctg1611.2, S_constricta|evm.model.ctg1801.2, S_constricta|evm.model.ctg1892.2
N5.HOG0000060	OG0000011	n64								S_constricta|evm.model.ctg1173.1, S_constricta|evm.model.ctg1173.10, S_constricta|evm.model.ctg1173.2, S_constricta|evm.model.ctg1173.6, S_constricta|evm.model.ctg1173.7, S_constricta|evm.model.ctg1173.8, S_constricta|evm.model.ctg1173.9, S_constricta|evm.model.ctg1189.1, S_constricta|evm.model.ctg1414.7, S_constricta|evm.model.ctg1525.1, S_constricta|evm.model.ctg1611.1, S_constricta|evm.model.ctg1611.3, S_constricta|evm.model.ctg1611.4, S_constricta|evm.model.ctg1611.5, S_constricta|evm.model.ctg1611.6, S_constricta|evm.model.ctg1892.1, S_constricta|evm.model.ctg1905.2, S_constricta|evm.model.ctg1905.3, S_constricta|evm.model.ctg2170.1, S_constricta|evm.model.ctg2170.2, S_constricta|evm.model.ctg2170.3, S_constricta|evm.model.ctg2250.1, S_constricta|evm.model.ctg2506.2.1, S_constricta|evm.model.ctg2716.1, S_constricta|evm.model.ctg2935.1, S_constricta|evm.model.ctg2935.4, S_constricta|evm.model.ctg2947.1, S_constricta|evm.model.ctg2947.2, S_constricta|evm.model.ctg3234.3, S_constricta|evm.model.ctg3234.4, S_constricta|evm.model.ctg3433.1, S_constricta|evm.model.ctg3433.2, S_constricta|evm.model.ctg3433.3, S_constricta|evm.model.ctg3898.1, S_constricta|evm.model.ctg3898.2, S_constricta|evm.model.ctg4448.1_evm.model.ctg4448.2, S_constricta|evm.model.ctg5056.1, S_constricta|evm.model.ctg5056.2
N5.HOG0000061	OG0000011	n102							P_fucata|Pma_10019860, P_fucata|Pma_55.139	S_constricta|evm.model.ctg103.60
N5.HOG0000062	OG0000012	n0							P_fucata|Pma_10024425, P_fucata|Pma_10024427, P_fucata|Pma_10024429, P_fucata|Pma_10024431, P_fucata|Pma_10024433, P_fucata|Pma_10024435, P_fucata|Pma_10024437, P_fucata|Pma_10024439, P_fucata|Pma_10024441, P_fucata|Pma_10024443, P_fucata|Pma_10024445, P_fucata|Pma_10024447, P_fucata|Pma_10024449, P_fucata|Pma_10024451, P_fucata|Pma_10024453, P_fucata|Pma_10024455, P_fucata|Pma_10024457, P_fucata|Pma_10024459, P_fucata|Pma_10024461, P_fucata|Pma_10024463, P_fucata|Pma_10024465, P_fucata|Pma_10024467, P_fucata|Pma_10024469, P_fucata|Pma_10024471, P_fucata|Pma_10024473, P_fucata|Pma_10024475, P_fucata|Pma_10024477, P_fucata|Pma_10024479, P_fucata|Pma_10024481, P_fucata|Pma_10024483, P_fucata|Pma_10024485, P_fucata|Pma_10024487, P_fucata|Pma_10024489, P_fucata|Pma_10024491, P_fucata|Pma_10024494, P_fucata|Pma_10024496, P_fucata|Pma_10024498, P_fucata|Pma_10024500, P_fucata|Pma_10024502, P_fucata|Pma_10024504, P_fucata|Pma_10024506, P_fucata|Pma_10024508, P_fucata|Pma_10024510, P_fucata|Pma_10024512, P_fucata|Pma_10024514, P_fucata|Pma_10024516, P_fucata|Pma_10024518, P_fucata|Pma_10024520, P_fucata|Pma_10024522, P_fucata|Pma_10024524, P_fucata|Pma_10024526, P_fucata|Pma_10024528, P_fucata|Pma_10024530, P_fucata|Pma_10024532, P_fucata|Pma_10024534, P_fucata|Pma_10024536, P_fucata|Pma_10024538, P_fucata|Pma_10024540, P_fucata|Pma_10024542, P_fucata|Pma_10024544, P_fucata|Pma_10024546, P_fucata|Pma_10024548, P_fucata|Pma_10024550, P_fucata|Pma_10024552, P_fucata|Pma_10024554, P_fucata|Pma_10024556, P_fucata|Pma_10024558, P_fucata|Pma_10024560, P_fucata|Pma_10024562, P_fucata|Pma_10024564, P_fucata|Pma_10024566, P_fucata|Pma_10024568, P_fucata|Pma_10024570, P_fucata|Pma_10024572, P_fucata|Pma_10024574, P_fucata|Pma_10024576, P_fucata|Pma_10024578, P_fucata|Pma_10024580, P_fucata|Pma_10024582, P_fucata|Pma_10024584, P_fucata|Pma_10024586, P_fucata|Pma_10024588, P_fucata|Pma_10024590, P_fucata|Pma_10024592, P_fucata|Pma_10024594, P_fucata|Pma_10024596, P_fucata|Pma_10024598, P_fucata|Pma_10024600, P_fucata|Pma_10024602, P_fucata|Pma_10024604, P_fucata|Pma_10024606, P_fucata|Pma_10024608, P_fucata|Pma_10024610, P_fucata|Pma_10024612, P_fucata|Pma_10024614, P_fucata|Pma_10024616, P_fucata|Pma_10024618, P_fucata|Pma_10024620, P_fucata|Pma_10024622, P_fucata|Pma_10024624, P_fucata|Pma_10024626, P_fucata|Pma_10024628, P_fucata|Pma_10024630	
