HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N2.HOG0000010	OG0000003	n48	A_granulata|model.g8281.t1_1						P_fucata|Pma_10006800	
N2.HOG0000011	OG0000003	n49	A_granulata|model.g24679.t1_1				L_gigantea|XP_009057653.1, L_gigantea|XP_009058591.1		P_fucata|Pma_10012388, P_fucata|Pma_10024688, P_fucata|Pma_10024689	S_constricta|evm.model.ctg1004.8, S_constricta|evm.model.ctg101.5, S_constricta|evm.model.ctg2230.1, S_constricta|evm.model.ctg2331.1, S_constricta|evm.model.ctg2331.2, S_constricta|evm.model.ctg377.30, S_constricta|evm.model.ctg377.32_evm.model.ctg377.31, S_constricta|evm.model.ctg416.3, S_constricta|evm.model.ctg55.55
N2.HOG0000012	OG0000003	n63	A_granulata|model.g21540.t1_1		C_virginica|XP_022309038.1, C_virginica|XP_022310239.1, C_virginica|XP_022310240.1, C_virginica|XP_022310854.1, C_virginica|XP_022310856.1, C_virginica|XP_022331274.1, C_virginica|XP_022337605.1, C_virginica|XP_022343542.1, C_virginica|XP_022345326.1				P_fucata|Pma_10003317, P_fucata|Pma_10004263, P_fucata|Pma_10006091, P_fucata|Pma_10008865, P_fucata|Pma_10012847, P_fucata|Pma_10014369, P_fucata|Pma_10024776, P_fucata|Pma_10024777, P_fucata|Pma_10024778, P_fucata|Pma_10026952, P_fucata|Pma_10031663, P_fucata|Pma_10031664, P_fucata|Pma_231.16	S_constricta|evm.model.ctg88.8
N2.HOG0000013	OG0000003	n86	A_granulata|model.g12389.t1.1.5d3b8706_1		C_virginica|XP_022287104.1, C_virginica|XP_022287107.1, C_virginica|XP_022289652.1, C_virginica|XP_022290415.1, C_virginica|XP_022290497.1, C_virginica|XP_022290814.1, C_virginica|XP_022290815.1, C_virginica|XP_022292929.1, C_virginica|XP_022293075.1, C_virginica|XP_022293077.1, C_virginica|XP_022293080.1, C_virginica|XP_022293349.1, C_virginica|XP_022293350.1, C_virginica|XP_022293573.1, C_virginica|XP_022293578.1, C_virginica|XP_022294154.1, C_virginica|XP_022294207.1, C_virginica|XP_022294432.1, C_virginica|XP_022294646.1, C_virginica|XP_022294732.1, C_virginica|XP_022294733.1, C_virginica|XP_022294739.1, C_virginica|XP_022294740.1, C_virginica|XP_022294741.1, C_virginica|XP_022294750.1, C_virginica|XP_022295028.1, C_virginica|XP_022295064.1, C_virginica|XP_022295073.1, C_virginica|XP_022297397.1, C_virginica|XP_022299379.1, C_virginica|XP_022300762.1, C_virginica|XP_022330926.1, C_virginica|XP_022330927.1, C_virginica|XP_022330928.1, C_virginica|XP_022339391.1		L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059572.1, L_gigantea|XP_009059573.1		P_fucata|Pma_10.1359	S_constricta|evm.model.ctg1045.8, S_constricta|evm.model.ctg401.21, S_constricta|evm.model.ctg642.12, S_constricta|evm.model.ctg859.5
N2.HOG0000014	OG0000003	n131			C_virginica|XP_022332278.1, C_virginica|XP_022335781.1, C_virginica|XP_022343659.1, C_virginica|XP_022344015.1, C_virginica|XP_022344065.1				P_fucata|Pma_1.232, P_fucata|Pma_10001023, P_fucata|Pma_10002536, P_fucata|Pma_10002742, P_fucata|Pma_10003793, P_fucata|Pma_10004519, P_fucata|Pma_10004520, P_fucata|Pma_10007192, P_fucata|Pma_10010621, P_fucata|Pma_10012077, P_fucata|Pma_10013353, P_fucata|Pma_10021076, P_fucata|Pma_10021077, P_fucata|Pma_10022603, P_fucata|Pma_10027183, P_fucata|Pma_10028043, P_fucata|Pma_10031633, P_fucata|Pma_145.761, P_fucata|Pma_201.324, P_fucata|Pma_328.141, P_fucata|Pma_453.236, P_fucata|Pma_5.1168	S_constricta|evm.model.ctg263.18, S_constricta|evm.model.ctg30.44
N2.HOG0000015	OG0000003	n159	A_granulata|model.g24762.t1_1	B_glabrata|XP_013061439.1	C_virginica|XP_022295699.1, C_virginica|XP_022295727.1, C_virginica|XP_022295728.1, C_virginica|XP_022299926.1, C_virginica|XP_022304396.1		L_gigantea|XP_009061854.1		P_fucata|Pma_10014538, P_fucata|Pma_10018092, P_fucata|Pma_10018317, P_fucata|Pma_10026479, P_fucata|Pma_10029971, P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10030213, P_fucata|Pma_424.232	S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1804.2, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg791.12
N2.HOG0000016	OG0000004	n0		B_glabrata|XP_013062440.1, B_glabrata|XP_013086610.1, B_glabrata|XP_013089298.1, B_glabrata|XP_013091058.1, B_glabrata|XP_013093169.1	C_virginica|XP_022286479.1, C_virginica|XP_022286717.1, C_virginica|XP_022287415.1, C_virginica|XP_022287464.1, C_virginica|XP_022288574.1, C_virginica|XP_022288791.1, C_virginica|XP_022289418.1, C_virginica|XP_022289447.1, C_virginica|XP_022289654.1, C_virginica|XP_022289706.1, C_virginica|XP_022289715.1, C_virginica|XP_022289727.1, C_virginica|XP_022289935.1, C_virginica|XP_022289938.1, C_virginica|XP_022289949.1, C_virginica|XP_022289967.1, C_virginica|XP_022290176.1, C_virginica|XP_022290289.1, C_virginica|XP_022290581.1, C_virginica|XP_022290620.1, C_virginica|XP_022290649.1, C_virginica|XP_022292876.1, C_virginica|XP_022294925.1, C_virginica|XP_022297668.1, C_virginica|XP_022300903.1, C_virginica|XP_022301088.1, C_virginica|XP_022303340.1, C_virginica|XP_022303344.1, C_virginica|XP_022303346.1, C_virginica|XP_022303356.1, C_virginica|XP_022303357.1, C_virginica|XP_022303399.1, C_virginica|XP_022303488.1, C_virginica|XP_022303537.1, C_virginica|XP_022303548.1, C_virginica|XP_022303550.1, C_virginica|XP_022303619.1, C_virginica|XP_022303685.1, C_virginica|XP_022304173.1, C_virginica|XP_022304174.1, C_virginica|XP_022304367.1, C_virginica|XP_022304589.1, C_virginica|XP_022304591.1, C_virginica|XP_022304592.1, C_virginica|XP_022304600.1, C_virginica|XP_022304875.1, C_virginica|XP_022304878.1, C_virginica|XP_022304882.1, C_virginica|XP_022304886.1, C_virginica|XP_022304915.1, C_virginica|XP_022304917.1, C_virginica|XP_022305030.1, C_virginica|XP_022305080.1, C_virginica|XP_022305088.1, C_virginica|XP_022305270.1, C_virginica|XP_022305382.1, C_virginica|XP_022305385.1, C_virginica|XP_022305386.1, C_virginica|XP_022305387.1, C_virginica|XP_022305395.1, C_virginica|XP_022305396.1, C_virginica|XP_022305399.1, C_virginica|XP_022305401.1, C_virginica|XP_022305402.1, C_virginica|XP_022305518.1, C_virginica|XP_022305729.1, C_virginica|XP_022305732.1, C_virginica|XP_022305735.1, C_virginica|XP_022305737.1, C_virginica|XP_022305738.1, C_virginica|XP_022305741.1, C_virginica|XP_022305742.1, C_virginica|XP_022305748.1, C_virginica|XP_022305752.1, C_virginica|XP_022305756.1, C_virginica|XP_022305757.1, C_virginica|XP_022305760.1, C_virginica|XP_022306155.1, C_virginica|XP_022306229.1, C_virginica|XP_022306484.1, C_virginica|XP_022306485.1, C_virginica|XP_022306488.1, C_virginica|XP_022306742.1, C_virginica|XP_022306746.1, C_virginica|XP_022306748.1, C_virginica|XP_022306863.1, C_virginica|XP_022306864.1, C_virginica|XP_022306937.1, C_virginica|XP_022306955.1, C_virginica|XP_022306978.1, C_virginica|XP_022306990.1, C_virginica|XP_022306996.1, C_virginica|XP_022307015.1, C_virginica|XP_022307060.1, C_virginica|XP_022307062.1, C_virginica|XP_022307370.1, C_virginica|XP_022307426.1, C_virginica|XP_022307677.1, C_virginica|XP_022307682.1, C_virginica|XP_022307702.1, C_virginica|XP_022307722.1, C_virginica|XP_022307726.1, C_virginica|XP_022307728.1, C_virginica|XP_022307729.1, C_virginica|XP_022307732.1, C_virginica|XP_022307742.1, C_virginica|XP_022307748.1, C_virginica|XP_022307750.1, C_virginica|XP_022307756.1, C_virginica|XP_022307760.1, C_virginica|XP_022307761.1, C_virginica|XP_022307769.1, C_virginica|XP_022307793.1, C_virginica|XP_022307795.1, C_virginica|XP_022307818.1, C_virginica|XP_022307830.1, C_virginica|XP_022307835.1, C_virginica|XP_022307837.1, C_virginica|XP_022307839.1, C_virginica|XP_022307841.1, C_virginica|XP_022307844.1, C_virginica|XP_022307845.1, C_virginica|XP_022307862.1, C_virginica|XP_022307866.1, C_virginica|XP_022307870.1, C_virginica|XP_022307871.1, C_virginica|XP_022307874.1, C_virginica|XP_022307877.1, C_virginica|XP_022307879.1, C_virginica|XP_022307883.1, C_virginica|XP_022307884.1, C_virginica|XP_022307885.1, C_virginica|XP_022307962.1, C_virginica|XP_022308373.1, C_virginica|XP_022308423.1, C_virginica|XP_022308427.1, C_virginica|XP_022308432.1, C_virginica|XP_022308442.1, C_virginica|XP_022308515.1, C_virginica|XP_022309374.1, C_virginica|XP_022309506.1, C_virginica|XP_022309507.1, C_virginica|XP_022309512.1, C_virginica|XP_022309553.1, C_virginica|XP_022309653.1, C_virginica|XP_022309654.1, C_virginica|XP_022309655.1, C_virginica|XP_022309673.1, C_virginica|XP_022309674.1, C_virginica|XP_022309677.1, C_virginica|XP_022309678.1, C_virginica|XP_022309687.1, C_virginica|XP_022309842.1, C_virginica|XP_022309926.1, C_virginica|XP_022309955.1, C_virginica|XP_022310311.1, C_virginica|XP_022310709.1, C_virginica|XP_022310759.1, C_virginica|XP_022310878.1, C_virginica|XP_022310960.1, C_virginica|XP_022311693.1, C_virginica|XP_022311697.1, C_virginica|XP_022311843.1, C_virginica|XP_022311848.1, C_virginica|XP_022312694.1, C_virginica|XP_022326735.1, C_virginica|XP_022338718.1		L_gigantea|XP_009061714.1, L_gigantea|XP_009061776.1, L_gigantea|XP_009061781.1		P_fucata|Pma_10021546, P_fucata|Pma_10025331	
N2.HOG0000017	OG0000005	n0		B_glabrata|XP_013060748.1, B_glabrata|XP_013060749.1, B_glabrata|XP_013060750.1, B_glabrata|XP_013060751.1, B_glabrata|XP_013060752.1, B_glabrata|XP_013060753.1, B_glabrata|XP_013061378.1, B_glabrata|XP_013061765.1, B_glabrata|XP_013062259.1, B_glabrata|XP_013063792.1, B_glabrata|XP_013063815.1, B_glabrata|XP_013064133.1, B_glabrata|XP_013064687.1, B_glabrata|XP_013064834.1, B_glabrata|XP_013065598.1, B_glabrata|XP_013065599.1, B_glabrata|XP_013065601.1, B_glabrata|XP_013065602.1, B_glabrata|XP_013065603.1, B_glabrata|XP_013065689.1, B_glabrata|XP_013065800.1, B_glabrata|XP_013066216.1, B_glabrata|XP_013066356.1, B_glabrata|XP_013066380.1, B_glabrata|XP_013067980.1, B_glabrata|XP_013068909.1, B_glabrata|XP_013068910.1, B_glabrata|XP_013068911.1, B_glabrata|XP_013068912.1, B_glabrata|XP_013068923.1, B_glabrata|XP_013070490.1, B_glabrata|XP_013070912.1, B_glabrata|XP_013070931.1, B_glabrata|XP_013070941.1, B_glabrata|XP_013071039.1, B_glabrata|XP_013071040.1, B_glabrata|XP_013072739.1, B_glabrata|XP_013072793.1, B_glabrata|XP_013072794.1, B_glabrata|XP_013072938.1, B_glabrata|XP_013073022.1, B_glabrata|XP_013073127.1, B_glabrata|XP_013073621.1, B_glabrata|XP_013073839.1, B_glabrata|XP_013074238.1, B_glabrata|XP_013075477.1, B_glabrata|XP_013075511.1, B_glabrata|XP_013075681.1, B_glabrata|XP_013075900.1, B_glabrata|XP_013076040.1, B_glabrata|XP_013076081.1, B_glabrata|XP_013076118.1, B_glabrata|XP_013076119.1, B_glabrata|XP_013076490.1, B_glabrata|XP_013076820.1, B_glabrata|XP_013076976.1, B_glabrata|XP_013076977.1, B_glabrata|XP_013077191.1, B_glabrata|XP_013077360.1, B_glabrata|XP_013077835.1, B_glabrata|XP_013077843.1, B_glabrata|XP_013077931.1, B_glabrata|XP_013078205.1, B_glabrata|XP_013078857.1, B_glabrata|XP_013079575.1, B_glabrata|XP_013079821.1, B_glabrata|XP_013079822.1, B_glabrata|XP_013079823.1, B_glabrata|XP_013079824.1, B_glabrata|XP_013079825.1, B_glabrata|XP_013079826.1, B_glabrata|XP_013079939.1, B_glabrata|XP_013080113.1, B_glabrata|XP_013080139.1, B_glabrata|XP_013080600.1, B_glabrata|XP_013081547.1, B_glabrata|XP_013081639.1, B_glabrata|XP_013081961.1, B_glabrata|XP_013081962.1, B_glabrata|XP_013081963.1, B_glabrata|XP_013081965.1, B_glabrata|XP_013082453.1, B_glabrata|XP_013082529.1, B_glabrata|XP_013082539.1, B_glabrata|XP_013082780.1, B_glabrata|XP_013082945.1, B_glabrata|XP_013083094.1, B_glabrata|XP_013083115.1, B_glabrata|XP_013083285.1, B_glabrata|XP_013083331.1, B_glabrata|XP_013083470.1, B_glabrata|XP_013083635.1, B_glabrata|XP_013084274.1, B_glabrata|XP_013085672.1, B_glabrata|XP_013085673.1, B_glabrata|XP_013085869.1, B_glabrata|XP_013086084.1, B_glabrata|XP_013087274.1, B_glabrata|XP_013088025.1, B_glabrata|XP_013088661.1, B_glabrata|XP_013088875.1, B_glabrata|XP_013088913.1, B_glabrata|XP_013088914.1, B_glabrata|XP_013088915.1, B_glabrata|XP_013089007.1, B_glabrata|XP_013089113.1, B_glabrata|XP_013089173.1, B_glabrata|XP_013089577.1, B_glabrata|XP_013089597.1, B_glabrata|XP_013089599.1, B_glabrata|XP_013089696.1, B_glabrata|XP_013089697.1, B_glabrata|XP_013090038.1, B_glabrata|XP_013090255.1, B_glabrata|XP_013090256.1, B_glabrata|XP_013090257.1, B_glabrata|XP_013090258.1, B_glabrata|XP_013090259.1, B_glabrata|XP_013090260.1, B_glabrata|XP_013090262.1, B_glabrata|XP_013090263.1, B_glabrata|XP_013090264.1, B_glabrata|XP_013090871.1, B_glabrata|XP_013091101.1, B_glabrata|XP_013091977.1, B_glabrata|XP_013092206.1, B_glabrata|XP_013092332.1, B_glabrata|XP_013092334.1, B_glabrata|XP_013092510.1, B_glabrata|XP_013092710.1, B_glabrata|XP_013092714.1, B_glabrata|XP_013092831.1, B_glabrata|XP_013093140.1, B_glabrata|XP_013093186.1, B_glabrata|XP_013093212.1, B_glabrata|XP_013093286.1, B_glabrata|XP_013093295.1, B_glabrata|XP_013093447.1, B_glabrata|XP_013093534.1, B_glabrata|XP_013093829.1, B_glabrata|XP_013093930.1, B_glabrata|XP_013094255.1, B_glabrata|XP_013094513.1, B_glabrata|XP_013094572.1, B_glabrata|XP_013095252.1, B_glabrata|XP_013095595.1, B_glabrata|XP_013095633.1, B_glabrata|XP_013095634.1, B_glabrata|XP_013095635.1, B_glabrata|XP_013095637.1, B_glabrata|XP_013095639.1, B_glabrata|XP_013095830.1, B_glabrata|XP_013096201.1, B_glabrata|XP_013096365.1, B_glabrata|XP_013096443.1, B_glabrata|XP_013096743.1, B_glabrata|XP_013096891.1						
N2.HOG0000018	OG0000006	n0	A_granulata|evm.model.Super-Scaffold_100002.1619_1, A_granulata|evm.model.Super-Scaffold_100002.162_1, A_granulata|evm.model.Super-Scaffold_100002.1811_1, A_granulata|evm.model.Super-Scaffold_100002.1950_1, A_granulata|evm.model.Super-Scaffold_100002.1953_1, A_granulata|evm.model.Super-Scaffold_100002.278_1, A_granulata|evm.model.Super-Scaffold_100002.433_1, A_granulata|evm.model.Super-Scaffold_100002.547_1, A_granulata|evm.model.Super-Scaffold_100002.55_1, A_granulata|evm.model.Super-Scaffold_100003.1045_1, A_granulata|evm.model.Super-Scaffold_100003.1107_1, A_granulata|evm.model.Super-Scaffold_100003.1227_1, A_granulata|evm.model.Super-Scaffold_100003.1895_1, A_granulata|evm.model.Super-Scaffold_100003.419_1, A_granulata|evm.model.Super-Scaffold_100003.478_1, A_granulata|evm.model.Super-Scaffold_100003.479_1, A_granulata|evm.model.Super-Scaffold_100003.581_1, A_granulata|evm.model.Super-Scaffold_100003.9_1, A_granulata|evm.model.Super-Scaffold_100004.1225_1, A_granulata|evm.model.Super-Scaffold_100004.1289_1, A_granulata|evm.model.Super-Scaffold_100004.37_1, A_granulata|evm.model.Super-Scaffold_100004.474_1, A_granulata|evm.model.Super-Scaffold_100004.70_1, A_granulata|evm.model.Super-Scaffold_100004.71_1, A_granulata|evm.model.Super-Scaffold_100004.83_1, A_granulata|evm.model.Super-Scaffold_100004.981_1, A_granulata|evm.model.Super-Scaffold_100005.1041_1, A_granulata|evm.model.Super-Scaffold_100005.1219_1, A_granulata|evm.model.Super-Scaffold_100005.137_1, A_granulata|evm.model.Super-Scaffold_100005.467_1, A_granulata|evm.model.Super-Scaffold_100005.473_1, A_granulata|evm.model.Super-Scaffold_100005.869_1, A_granulata|evm.model.Super-Scaffold_100006.1008_1, A_granulata|evm.model.Super-Scaffold_100006.1011_1, A_granulata|evm.model.Super-Scaffold_100006.1061_1, A_granulata|evm.model.Super-Scaffold_100006.1089_1, A_granulata|evm.model.Super-Scaffold_100006.1260_1, A_granulata|evm.model.Super-Scaffold_100006.260_1, A_granulata|evm.model.Super-Scaffold_100006.448_1, A_granulata|evm.model.Super-Scaffold_100006.517_1, A_granulata|evm.model.Super-Scaffold_100006.622_1, A_granulata|evm.model.Super-Scaffold_100006.96_1, A_granulata|evm.model.Super-Scaffold_100007.202_1, A_granulata|evm.model.Super-Scaffold_100007.501_1, A_granulata|evm.model.Super-Scaffold_100007.56_1, A_granulata|evm.model.Super-Scaffold_100007.57_1, A_granulata|evm.model.Super-Scaffold_100007.58_1, A_granulata|evm.model.Super-Scaffold_100007.614_1, A_granulata|evm.model.Super-Scaffold_100007.618_1, A_granulata|evm.model.Super-Scaffold_100007.674_1, A_granulata|evm.model.Super-Scaffold_100008.157_1, A_granulata|evm.model.Super-Scaffold_100008.401_1, A_granulata|evm.model.Super-Scaffold_100008.439_1, A_granulata|evm.model.Super-Scaffold_100008.70_1, A_granulata|evm.model.Super-Scaffold_100008.811_1, A_granulata|evm.model.Super-Scaffold_100008.823_1, A_granulata|evm.model.Super-Scaffold_100008.854_1, A_granulata|evm.model.Super-Scaffold_100009.793_1, A_granulata|evm.model.Super-Scaffold_100009.797_1, A_granulata|evm.model.Super-Scaffold_100009.812_1, A_granulata|evm.model.Super-Scaffold_100010.13_1, A_granulata|evm.model.Super-Scaffold_100010.504_1, A_granulata|evm.model.Super-Scaffold_100010.727_1, A_granulata|evm.model.Super-Scaffold_100010.753_1, A_granulata|evm.model.Super-Scaffold_100011.603_1, A_granulata|evm.model.Super-Scaffold_100011.732_1, A_granulata|evm.model.Super-Scaffold_100011.821_1, A_granulata|evm.model.Super-Scaffold_100011.940_1, A_granulata|evm.model.Super-Scaffold_100011.9_1, A_granulata|evm.model.Super-Scaffold_100012.701_1, A_granulata|evm.model.Super-Scaffold_100013.273_1, A_granulata|evm.model.Super-Scaffold_100013.490_1, A_granulata|evm.model.Super-Scaffold_100015.160_1, A_granulata|evm.model.Super-Scaffold_100015.621_1, A_granulata|evm.model.Super-Scaffold_100015.665_1, A_granulata|evm.model.Super-Scaffold_100015.682_1, A_granulata|evm.model.Super-Scaffold_100016.180_1, A_granulata|evm.model.Super-Scaffold_100016.318_1, A_granulata|evm.model.Super-Scaffold_100017.102_1, A_granulata|evm.model.Super-Scaffold_100017.164_1, A_granulata|evm.model.Super-Scaffold_100018.134_1, A_granulata|evm.model.Super-Scaffold_100018.142_1, A_granulata|evm.model.Super-Scaffold_100018.284_1, A_granulata|evm.model.Super-Scaffold_100018.403_1, A_granulata|evm.model.Super-Scaffold_100018.418_1, A_granulata|evm.model.Super-Scaffold_100018.42_1, A_granulata|evm.model.Super-Scaffold_100018.43_1, A_granulata|evm.model.Super-Scaffold_100018.471_1, A_granulata|evm.model.Super-Scaffold_100018.479_1, A_granulata|evm.model.Super-Scaffold_100018.55_1, A_granulata|evm.model.Super-Scaffold_100018.57_1, A_granulata|evm.model.Super-Scaffold_100018.71_1, A_granulata|evm.model.Super-Scaffold_100018.82_1, A_granulata|evm.model.Super-Scaffold_100018.99_1, A_granulata|evm.model.Super-Scaffold_100019.10_1, A_granulata|evm.model.Super-Scaffold_100019.356_1, A_granulata|evm.model.Super-Scaffold_100019.365_1, A_granulata|evm.model.Super-Scaffold_100019.47_1, A_granulata|evm.model.Super-Scaffold_100019.4_1, A_granulata|evm.model.Super-Scaffold_100019.53_1, A_granulata|evm.model.Super-Scaffold_100019.5_1, A_granulata|evm.model.Super-Scaffold_100020.285_1, A_granulata|evm.model.Super-Scaffold_100021.214_1, A_granulata|evm.model.Super-Scaffold_100021.317_1, A_granulata|evm.model.Super-Scaffold_100021.413_1, A_granulata|evm.model.Super-Scaffold_100022.359_1, A_granulata|evm.model.Super-Scaffold_100023.260_1, A_granulata|evm.model.Super-Scaffold_100025.67_1, A_granulata|evm.model.Super-Scaffold_100026.18_1, A_granulata|evm.model.Super-Scaffold_100026.204_1, A_granulata|evm.model.Super-Scaffold_100029.49_1, A_granulata|evm.model.Super-Scaffold_100033.110_1, A_granulata|evm.model.Super-Scaffold_100033.81_1, A_granulata|evm.model.Super-Scaffold_100059.43_1, A_granulata|evm.model.Super-Scaffold_505.1008_1, A_granulata|evm.model.Super-Scaffold_505.1159_1, A_granulata|evm.model.Super-Scaffold_505.129_1, A_granulata|evm.model.Super-Scaffold_505.1857_1, A_granulata|evm.model.Super-Scaffold_505.1995_1, A_granulata|evm.model.Super-Scaffold_505.2013_1, A_granulata|evm.model.Super-Scaffold_505.2092_1, A_granulata|evm.model.Super-Scaffold_505.2149_1, A_granulata|evm.model.Super-Scaffold_505.2151_1, A_granulata|evm.model.Super-Scaffold_505.2154_1, A_granulata|evm.model.Super-Scaffold_505.2186_1, A_granulata|evm.model.Super-Scaffold_505.70_1, A_granulata|evm.model.Super-Scaffold_505.890_1, A_granulata|evm.model.Super-Scaffold_6845.204_1, A_granulata|evm.model.Super-Scaffold_6845.209_1, A_granulata|model.g11490.t1_1, A_granulata|model.g11643.t1_1, A_granulata|model.g12005.t1_1, A_granulata|model.g13670.t1_1, A_granulata|model.g14027.t1_1, A_granulata|model.g15406.t1_1, A_granulata|model.g1688.t1_1, A_granulata|model.g18176.t1_1, A_granulata|model.g22320.t1_1, A_granulata|model.g23985.t1_1, A_granulata|model.g2460.t1_1, A_granulata|model.g26187.t1_1, A_granulata|model.g26257.t1_1, A_granulata|model.g2640.t1_1, A_granulata|model.g26917.t1_1, A_granulata|model.g26937.t1_1, A_granulata|model.g26966.t1_1, A_granulata|model.g3623.t1_1, A_granulata|model.g425.t1_1, A_granulata|model.g5371.t1_1, A_granulata|model.g5630.t1_1, A_granulata|model.g5787.t1_1, A_granulata|model.g8844.t1_1, A_granulata|model.g9850.t1_1						P_fucata|Pma_10002083	
N2.HOG0000019	OG0000007	n4			C_virginica|XP_022308431.1				P_fucata|Pma_10017847	S_constricta|evm.model.ctg436.5
N2.HOG0000020	OG0000007	n7	A_granulata|model.g6273.t1_1				L_gigantea|XP_009046443.1			
N2.HOG0000021	OG0000007	n9	A_granulata|model.g6272.t1_1				L_gigantea|XP_009046442.1			
N2.HOG0000022	OG0000007	n13	A_granulata|evm.model.Super-Scaffold_100004.707_1	B_glabrata|XP_013075772.1	C_virginica|XP_022307961.1		L_gigantea|XP_009046440.1		P_fucata|Pma_10010607, P_fucata|Pma_532.177	S_constricta|evm.model.ctg412.18
N2.HOG0000023	OG0000007	n28	A_granulata|evm.model.Super-Scaffold_100009.926_1	B_glabrata|XP_013082066.1					P_fucata|Pma_10023862	
N2.HOG0000024	OG0000007	n33	A_granulata|evm.model.Super-Scaffold_100004.333_1				L_gigantea|XP_009052766.1			
N2.HOG0000025	OG0000007	n36	A_granulata|evm.model.Super-Scaffold_100004.295_1							
N2.HOG0000026	OG0000007	n38	A_granulata|evm.model.Super-Scaffold_100004.411_1	B_glabrata|XP_013079326.1, B_glabrata|XP_013090876.1	C_virginica|XP_022316903.1, C_virginica|XP_022319262.1		L_gigantea|XP_009055159.1, L_gigantea|XP_009055160.1		P_fucata|Pma_10001157	S_constricta|evm.model.ctg380.19, S_constricta|evm.model.ctg76.75
N2.HOG0000027	OG0000007	n49	A_granulata|evm.model.Super-Scaffold_100004.301_1		C_virginica|XP_022286090.1		L_gigantea|XP_009063633.1			S_constricta|evm.model.ctg2181.2
N2.HOG0000028	OG0000007	n53	A_granulata|model.g6264.t1_model.g6265.t1_1		C_virginica|XP_022291943.1		L_gigantea|XP_009046437.1			S_constricta|evm.model.ctg412.15
N2.HOG0000029	OG0000007	n59	A_granulata|model.g6275.t1_1	B_glabrata|XP_013073864.1, B_glabrata|XP_013085966.1			L_gigantea|XP_009046446.1		P_fucata|Pma_10004348, P_fucata|Pma_10009355	S_constricta|evm.model.ctg436.7
N2.HOG0000030	OG0000007	n65	A_granulata|model.g13936.t1_1	B_glabrata|XP_013081957.1	C_virginica|XP_022326937.1		L_gigantea|XP_009065435.1		P_fucata|Pma_10023863	S_constricta|evm.model.ctg306.3
N2.HOG0000031	OG0000007	n75			C_virginica|XP_022289925.1, C_virginica|XP_022292027.1		L_gigantea|XP_009046438.1, L_gigantea|XP_009046439.1		P_fucata|Pma_10006875, P_fucata|Pma_10030419, P_fucata|Pma_207.322	S_constricta|evm.model.ctg412.17
N2.HOG0000032	OG0000007	n83	A_granulata|model.g13938.t1_1	B_glabrata|XP_013082062.1	C_virginica|XP_022328330.1		L_gigantea|XP_009065436.1		P_fucata|Pma_10007466, P_fucata|Pma_10016649, P_fucata|Pma_10023861	S_constricta|evm.model.ctg306.4
N2.HOG0000033	OG0000007	n92	A_granulata|model.g5761.t1_1	B_glabrata|XP_013063618.1	C_virginica|XP_022324615.1		L_gigantea|XP_009046479.1		P_fucata|Pma_10016536	
N2.HOG0000034	OG0000007	n100							P_fucata|Pma_10032672	
N2.HOG0000035	OG0000007	n104					L_gigantea|XP_009065931.1			
N2.HOG0000036	OG0000007	n105	A_granulata|evm.model.Super-Scaffold_100006.1323_1				L_gigantea|XP_009065930.1			
N2.HOG0000037	OG0000007	n106			C_virginica|XP_022320319.1, C_virginica|XP_022320653.1				P_fucata|Pma_10027249	
N2.HOG0000038	OG0000007	n108	A_granulata|model.g6270.t1.2.5d3b84cf_1		C_virginica|XP_022340779.1		L_gigantea|XP_009046441.1		P_fucata|Pma_10017849	
N2.HOG0000039	OG0000007	n115		B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1	C_virginica|XP_022309837.1		L_gigantea|XP_009046445.1		P_fucata|Pma_10008710	S_constricta|evm.model.ctg436.1
N2.HOG0000040	OG0000007	n121	A_granulata|model.g6274.t1_1		C_virginica|XP_022342129.1		L_gigantea|XP_009046444.1			S_constricta|evm.model.ctg436.4
