Orthogroup	H_robusta_2	A_granulata_2
OG0000009	H_robusta|ESO00154.1, H_robusta|ESO04934.1	A_granulata|model.g14108.t1_1
OG0000009	H_robusta|ESO05551.1, H_robusta|ESO05549.1, H_robusta|ESO05547.1, H_robusta|ESO05561.1, H_robusta|ESO05580.1, H_robusta|ESO05560.1, H_robusta|ESO05555.1, H_robusta|ESO05548.1, H_robusta|ESN96742.1, H_robusta|ESN96743.1, H_robusta|ESO05658.1, H_robusta|ESO05557.1, H_robusta|ESO05562.1, H_robusta|ESO05579.1, H_robusta|ESO05553.1, H_robusta|ESO05565.1, H_robusta|ESN90439.1, H_robusta|ESN93770.1	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1
OG0000011	H_robusta|ESN93667.1	A_granulata|model.g14860.t1_1
OG0000015	H_robusta|ESN91326.1	A_granulata|model.g11415.t1_1
OG0000015	H_robusta|ESN99536.1	A_granulata|evm.model.Super-Scaffold_100057.39_1, A_granulata|model.g20494.t1_1
OG0000015	H_robusta|ESN90293.1	A_granulata|evm.model.Super-Scaffold_100002.249_1
OG0000016	H_robusta|ESO12711.1, H_robusta|ESO12860.1	A_granulata|evm.model.Super-Scaffold_100003.698_1, A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1
OG0000017	H_robusta|ESO10253.1	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1
OG0000019	H_robusta|ESO09462.1	A_granulata|model.g14035.t1_1, A_granulata|model.g11695.t1_1, A_granulata|model.g7451.t1_1, A_granulata|model.g11738.t1.5.5d3b86a4_1, A_granulata|model.g8205.t1_1
OG0000023	H_robusta|ESO00598.1	A_granulata|evm.model.Super-Scaffold_100002.117_1
OG0000024	H_robusta|ESN91305.1	A_granulata|evm.model.Super-Scaffold_100005.884_1
OG0000025	H_robusta|ESN91955.1	A_granulata|evm.model.Super-Scaffold_100008.679_1
OG0000026	H_robusta|ESN95294.1	A_granulata|evm.model.Super-Scaffold_100010.607_1
OG0000027	H_robusta|ESO08179.1	A_granulata|evm.model.Super-Scaffold_100013.373_1
OG0000028	H_robusta|ESO08129.1	A_granulata|evm.model.Super-Scaffold_100025.188_1
OG0000029	H_robusta|ESO13052.1	A_granulata|model.g2134.t1_1
OG0000030	H_robusta|ESO09280.1	A_granulata|model.g1298.t1_1
OG0000031	H_robusta|ESO09736.1	A_granulata|model.g100.t1_1
OG0000032	H_robusta|ESO02199.1	A_granulata|model.g501.t1_1
OG0000033	H_robusta|ESN90052.1	A_granulata|model.g1883.t1_1
OG0000034	H_robusta|ESN90476.1	A_granulata|model.g1662.t1_1
OG0000035	H_robusta|ESO10634.1	A_granulata|model.g3215.t1_1
OG0000036	H_robusta|ESO10298.1	A_granulata|model.g3997.t1_1
OG0000037	H_robusta|ESN95204.1	A_granulata|model.g4135.t1_1
OG0000038	H_robusta|ESO05119.1	A_granulata|model.g3909.t1_1
OG0000039	H_robusta|ESN96911.1	A_granulata|model.g5912.t1_1
OG0000040	H_robusta|ESO01626.1	A_granulata|model.g6072.t1_1
OG0000041	H_robusta|ESO00575.1	A_granulata|model.g8800.t1_1
OG0000042	H_robusta|ESN96167.1	A_granulata|model.g8671.t1_1
OG0000043	H_robusta|ESO04933.1	A_granulata|model.g9992.t1_1
OG0000044	H_robusta|ESO00697.1	A_granulata|model.g9597.t1_1
OG0000045	H_robusta|ESN99635.1	A_granulata|model.g11944.t1_1
OG0000046	H_robusta|ESO10083.1	A_granulata|model.g13152.t1_1
OG0000047	H_robusta|ESN91550.1	A_granulata|model.g15250.t1_1
OG0000048	H_robusta|ESO13187.1	A_granulata|model.g15596.t1_1
OG0000049	H_robusta|ESN98754.1	A_granulata|model.g17957.t1_1
OG0000050	H_robusta|ESO00076.1	A_granulata|model.g30402.t1_1
OG0000051	H_robusta|ESN99728.1	A_granulata|model.g29359.t1_1
OG0000052	H_robusta|ESN98670.1	A_granulata|model.g28777.t1_1
OG0000053	H_robusta|ESO03583.1	A_granulata|model.g29911.t1_1
OG0000054	H_robusta|ESO10888.1	A_granulata|model.g1284.t1.1.5d3b82d5_1
OG0000055	H_robusta|ESN91162.1	A_granulata|model.g2097.t1_1
OG0000056	H_robusta|ESO08731.1	A_granulata|model.g89.t1.1.5d3b81fd_1
OG0000057	H_robusta|ESO06944.1	A_granulata|model.g763.t1_model.g765.t1_1
OG0000058	H_robusta|ESO09558.1	A_granulata|model.g4291.t1_1
OG0000059	H_robusta|ESN94151.1	A_granulata|model.g6491.t1.1.5d3b8503_1
OG0000060	H_robusta|ESN99626.1	A_granulata|model.g7388.t1_1
OG0000061	H_robusta|ESO02346.1	A_granulata|model.g7604.t1.1.5d3b84b3_1
OG0000062	H_robusta|ESN92353.1	A_granulata|model.g8718.t1.1.5d3b85ae_1
OG0000063	H_robusta|ESN90952.1	A_granulata|model.g7299.t1_1
OG0000064	H_robusta|ESN94328.1	A_granulata|model.g13274.t1_1
OG0000065	H_robusta|ESO10101.1	A_granulata|model.g17523.t1_1
OG0000066	H_robusta|ESO01061.1	A_granulata|model.g17660.t1_1
OG0000067	H_robusta|ESN96928.1	A_granulata|model.g20823.t1_1
OG0000068	H_robusta|ESN99588.1	A_granulata|model.g29179.t1_1
OG0000069	H_robusta|ESO02510.1	A_granulata|model.g31682.t1_1
OG0000070	H_robusta|ESO13213.1	A_granulata|model.g32000.t1_1
