Orthogroup	H_robusta_2	L_gigantea_2
OG0000059	H_robusta|ESN94151.1	L_gigantea|XP_009060271.1
OG0000060	H_robusta|ESN99626.1	L_gigantea|XP_009056650.1
OG0000061	H_robusta|ESO02346.1	L_gigantea|XP_009053673.1
OG0000062	H_robusta|ESN92353.1	L_gigantea|XP_009059459.1
OG0000063	H_robusta|ESN90952.1	L_gigantea|XP_009053421.1
OG0000064	H_robusta|ESN94328.1	L_gigantea|XP_009051192.1
OG0000065	H_robusta|ESO10101.1	L_gigantea|XP_009050443.1
OG0000066	H_robusta|ESO01061.1	L_gigantea|XP_009046288.1
OG0000067	H_robusta|ESN96928.1	L_gigantea|XP_009050729.1
OG0000068	H_robusta|ESN99588.1	L_gigantea|XP_009064827.1
OG0000069	H_robusta|ESO02510.1	L_gigantea|XP_009048448.1
OG0000070	H_robusta|ESO13213.1	L_gigantea|XP_009063619.1
