Orthogroup	S_constricta_2	O_bimaculoides_2
OG0000011	S_constricta|evm.model.ctg366.24	O_bimaculoides|XP_014785327.1
OG0000015	S_constricta|evm.model.ctg528.30	O_bimaculoides|XP_014789051.1
OG0000016	S_constricta|evm.model.ctg599.25, S_constricta|evm.model.ctg769.1, S_constricta|evm.model.ctg942.2, S_constricta|evm.model.ctg658.15, S_constricta|evm.model.ctg658.14	O_bimaculoides|XP_014774772.1
OG0000019	S_constricta|evm.model.ctg23.32	O_bimaculoides|XP_014773657.1
OG0000019	S_constricta|evm.model.ctg159.29	O_bimaculoides|XP_014781196.1
OG0000019	S_constricta|evm.model.ctg139.17, S_constricta|evm.model.ctg117.11	O_bimaculoides|XP_014772300.1
OG0000019	S_constricta|evm.model.ctg84.12, S_constricta|evm.model.ctg131.23, S_constricta|evm.model.ctg131.22	O_bimaculoides|XP_014780698.1
OG0000020	S_constricta|evm.model.ctg1164.1, S_constricta|evm.model.ctg3.92, S_constricta|evm.model.ctg1086.13, S_constricta|evm.model.ctg1086.12, S_constricta|evm.model.ctg1086.11, S_constricta|evm.model.ctg1086.9, S_constricta|evm.model.ctg2779.2, S_constricta|evm.model.ctg6487.1, S_constricta|evm.model.ctg1723.2, S_constricta|evm.model.ctg727.2, S_constricta|evm.model.ctg727.4, S_constricta|evm.model.ctg5497.1, S_constricta|evm.model.ctg727.3, S_constricta|evm.model.ctg28.4, S_constricta|evm.model.ctg189.107, S_constricta|evm.model.ctg636.4_evm.model.ctg636.5	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	S_constricta|evm.model.ctg238.53	O_bimaculoides|XP_014787445.1
OG0000024	S_constricta|evm.model.ctg14.39	O_bimaculoides|XP_014778891.1
OG0000025	S_constricta|evm.model.ctg97.43	O_bimaculoides|XP_014789699.1
OG0000026	S_constricta|evm.model.ctg1004.16	O_bimaculoides|XP_014789426.1
OG0000027	S_constricta|evm.model.ctg660.7	O_bimaculoides|XP_014788131.1
OG0000028	S_constricta|evm.model.ctg930.2	O_bimaculoides|XP_014790475.1
OG0000029	S_constricta|evm.model.ctg492.4	O_bimaculoides|XP_014772627.1
OG0000030	S_constricta|evm.model.ctg40.49	O_bimaculoides|XP_014784674.1
OG0000031	S_constricta|evm.model.ctg142.10	O_bimaculoides|XP_014787618.1
OG0000032	S_constricta|evm.model.ctg145.40	O_bimaculoides|XP_014773878.1
OG0000033	S_constricta|evm.model.ctg647.9	O_bimaculoides|XP_014769418.1
OG0000034	S_constricta|evm.model.ctg613.8	O_bimaculoides|XP_014777276.1
OG0000035	S_constricta|evm.model.ctg392.9	O_bimaculoides|XP_014772225.1
OG0000036	S_constricta|evm.model.ctg96.20	O_bimaculoides|XP_014776166.1
OG0000037	S_constricta|evm.model.ctg533.29	O_bimaculoides|XP_014785114.1
OG0000038	S_constricta|evm.model.ctg1402.5	O_bimaculoides|XP_014773522.1
OG0000039	S_constricta|evm.model.ctg271.100	O_bimaculoides|XP_014772348.1
OG0000040	S_constricta|evm.model.ctg76.36	O_bimaculoides|XP_014788148.1
OG0000041	S_constricta|evm.model.ctg64.47	O_bimaculoides|XP_014773542.1
OG0000042	S_constricta|evm.model.ctg154.29	O_bimaculoides|XP_014775340.1
OG0000043	S_constricta|evm.model.ctg491.9	O_bimaculoides|XP_014783376.1
OG0000044	S_constricta|evm.model.ctg340.12	O_bimaculoides|XP_014767759.1
OG0000045	S_constricta|evm.model.ctg968.2	O_bimaculoides|XP_014774176.1
OG0000046	S_constricta|evm.model.ctg667.12	O_bimaculoides|XP_014772041.1
OG0000047	S_constricta|evm.model.ctg1.21	O_bimaculoides|XP_014770126.1
OG0000048	S_constricta|evm.model.ctg1.125_evm.model.ctg1.126	O_bimaculoides|XP_014783673.1
OG0000049	S_constricta|evm.model.ctg388.17	O_bimaculoides|XP_014790578.1
OG0000050	S_constricta|evm.model.ctg51.64	O_bimaculoides|XP_014773139.1
OG0000051	S_constricta|evm.model.ctg185.15	O_bimaculoides|XP_014776868.1
OG0000052	S_constricta|evm.model.ctg101.83	O_bimaculoides|XP_014790391.1
OG0000053	S_constricta|evm.model.ctg1651.2	O_bimaculoides|XP_014778145.1
OG0000054	S_constricta|evm.model.ctg775.15	O_bimaculoides|XP_014779552.1
OG0000055	S_constricta|evm.model.ctg1149.7	O_bimaculoides|XP_014775648.1
OG0000056	S_constricta|evm.model.ctg1239.1	O_bimaculoides|XP_014783300.1
OG0000057	S_constricta|evm.model.ctg138.11	O_bimaculoides|XP_014774168.1
OG0000058	S_constricta|evm.model.ctg96.49	O_bimaculoides|XP_014785555.1
OG0000059	S_constricta|evm.model.ctg639.2	O_bimaculoides|XP_014789933.1
OG0000060	S_constricta|evm.model.ctg74.29	O_bimaculoides|XP_014776694.1
OG0000061	S_constricta|evm.model.ctg210.6	O_bimaculoides|XP_014790210.1
OG0000062	S_constricta|evm.model.ctg230.1	O_bimaculoides|XP_014772987.1
OG0000063	S_constricta|evm.model.ctg131.13	O_bimaculoides|XP_014776218.1
OG0000064	S_constricta|evm.model.ctg1020.4	O_bimaculoides|XP_014783678.1
OG0000065	S_constricta|evm.model.ctg502.6	O_bimaculoides|XP_014772273.1
OG0000066	S_constricta|evm.model.ctg442.45	O_bimaculoides|XP_014778623.1
OG0000067	S_constricta|evm.model.ctg249.21	O_bimaculoides|XP_014771836.1
OG0000068	S_constricta|evm.model.ctg1547.1	O_bimaculoides|XP_014789121.1
OG0000069	S_constricta|evm.model.ctg381.13	O_bimaculoides|XP_014772840.1
OG0000070	S_constricta|evm.model.ctg367.23	O_bimaculoides|XP_014789614.1
