Orthogroup	S_constricta_2	B_glabrata_2
OG0000011	S_constricta|evm.model.ctg748.4, S_constricta|evm.model.ctg3437.4, S_constricta|evm.model.ctg748.3, S_constricta|evm.model.ctg2148.3, S_constricta|evm.model.ctg2148.4, S_constricta|evm.model.ctg1814.1, S_constricta|evm.model.ctg2243.4, S_constricta|evm.model.ctg3389.3, S_constricta|evm.model.ctg2037.2, S_constricta|evm.model.ctg4062.2.1, S_constricta|evm.model.ctg1280.10, S_constricta|evm.model.ctg1280.6, S_constricta|evm.model.ctg1280.8, S_constricta|evm.model.ctg1197.1, S_constricta|evm.model.ctg1204.8, S_constricta|evm.model.ctg1157.14, S_constricta|evm.model.ctg3160.1, S_constricta|evm.model.ctg3075.1, S_constricta|evm.model.ctg2608.3.1, S_constricta|evm.model.ctg8738.1, S_constricta|evm.model.ctg1189.6, S_constricta|evm.model.ctg2960.1, S_constricta|evm.model.ctg1189.4, S_constricta|evm.model.ctg1950.1, S_constricta|evm.model.ctg2747.1, S_constricta|evm.model.ctg2716.3, S_constricta|evm.model.ctg1905.6, S_constricta|evm.model.ctg3105.3, S_constricta|evm.model.ctg2900.1, S_constricta|evm.model.ctg9031.1, S_constricta|evm.model.ctg1163.3, S_constricta|evm.model.ctg1163.2, S_constricta|evm.model.ctg5056.3, S_constricta|evm.model.ctg1905.4, S_constricta|evm.model.ctg2900.2, S_constricta|evm.model.ctg2935.2, S_constricta|evm.model.ctg1414.8.1, S_constricta|evm.model.ctg1163.4, S_constricta|evm.model.ctg2250.2, S_constricta|evm.model.ctg1728.1.5, S_constricta|evm.model.ctg1031.2, S_constricta|evm.model.ctg1031.5, S_constricta|evm.model.ctg1031.1, S_constricta|evm.model.ctg3583.1, S_constricta|evm.model.ctg1163.1, S_constricta|evm.model.ctg3583.2, S_constricta|evm.model.ctg1905.5, S_constricta|evm.model.ctg3234.1, S_constricta|evm.model.ctg1173.5, S_constricta|evm.model.ctg1892.2, S_constricta|evm.model.ctg1801.2, S_constricta|evm.model.ctg1611.2, S_constricta|evm.model.ctg2170.1, S_constricta|evm.model.ctg5056.2, S_constricta|evm.model.ctg3433.3, S_constricta|evm.model.ctg1905.2, S_constricta|evm.model.ctg4448.1_evm.model.ctg4448.2, S_constricta|evm.model.ctg1905.3, S_constricta|evm.model.ctg2506.2.1, S_constricta|evm.model.ctg5056.1, S_constricta|evm.model.ctg2935.4, S_constricta|evm.model.ctg3898.1, S_constricta|evm.model.ctg2170.3, S_constricta|evm.model.ctg1414.7, S_constricta|evm.model.ctg3433.1, S_constricta|evm.model.ctg3898.2, S_constricta|evm.model.ctg3433.2, S_constricta|evm.model.ctg2935.1, S_constricta|evm.model.ctg2170.2, S_constricta|evm.model.ctg1173.9, S_constricta|evm.model.ctg2716.1, S_constricta|evm.model.ctg1173.10, S_constricta|evm.model.ctg1173.2, S_constricta|evm.model.ctg1173.1, S_constricta|evm.model.ctg1173.7, S_constricta|evm.model.ctg2947.1, S_constricta|evm.model.ctg1525.1, S_constricta|evm.model.ctg1611.4, S_constricta|evm.model.ctg1892.1, S_constricta|evm.model.ctg1611.6, S_constricta|evm.model.ctg1611.3, S_constricta|evm.model.ctg1173.6, S_constricta|evm.model.ctg1611.1, S_constricta|evm.model.ctg1189.1, S_constricta|evm.model.ctg2250.1, S_constricta|evm.model.ctg3234.3, S_constricta|evm.model.ctg3234.4, S_constricta|evm.model.ctg1611.5, S_constricta|evm.model.ctg1173.8, S_constricta|evm.model.ctg2947.2	B_glabrata|XP_013092586.1
OG0000015	S_constricta|evm.model.ctg413.13	B_glabrata|XP_013076722.1, B_glabrata|XP_013090484.1
OG0000015	S_constricta|evm.model.ctg528.30	B_glabrata|XP_013077189.1
OG0000016	S_constricta|evm.model.ctg496.5, S_constricta|evm.model.ctg6.81, S_constricta|evm.model.ctg174.7	B_glabrata|XP_013068640.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013062374.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013096412.1
OG0000017	S_constricta|evm.model.ctg747.5, S_constricta|evm.model.ctg747.4, S_constricta|evm.model.ctg225.33, S_constricta|evm.model.ctg337.18, S_constricta|evm.model.ctg489.2, S_constricta|evm.model.ctg325.3, S_constricta|evm.model.ctg3125.1, S_constricta|evm.model.ctg416.42	B_glabrata|XP_013078946.1, B_glabrata|XP_013065892.1, B_glabrata|XP_013065863.1, B_glabrata|XP_013079385.1, B_glabrata|XP_013079394.1, B_glabrata|XP_013077200.1, B_glabrata|XP_013062035.1, B_glabrata|XP_013065895.1, B_glabrata|XP_013062034.1, B_glabrata|XP_013077202.1, B_glabrata|XP_013065857.1, B_glabrata|XP_013065893.1, B_glabrata|XP_013080598.1, B_glabrata|XP_013080599.1, B_glabrata|XP_013093165.1
OG0000019	S_constricta|evm.model.ctg23.32	B_glabrata|XP_013085161.1
OG0000019	S_constricta|evm.model.ctg9.1, S_constricta|evm.model.ctg128.7	B_glabrata|XP_013083944.1
OG0000019	S_constricta|evm.model.ctg859.12	B_glabrata|XP_013072245.1
OG0000019	S_constricta|evm.model.ctg84.12, S_constricta|evm.model.ctg131.23, S_constricta|evm.model.ctg131.22	B_glabrata|XP_013063444.1
OG0000023	S_constricta|evm.model.ctg238.53	B_glabrata|XP_013069100.1
OG0000024	S_constricta|evm.model.ctg14.39	B_glabrata|XP_013079153.1
OG0000025	S_constricta|evm.model.ctg97.43	B_glabrata|XP_013070418.1
OG0000026	S_constricta|evm.model.ctg1004.16	B_glabrata|XP_013085147.1
OG0000027	S_constricta|evm.model.ctg660.7	B_glabrata|XP_013079423.1
OG0000028	S_constricta|evm.model.ctg930.2	B_glabrata|XP_013064541.1
OG0000029	S_constricta|evm.model.ctg492.4	B_glabrata|XP_013084231.1
OG0000030	S_constricta|evm.model.ctg40.49	B_glabrata|XP_013088149.1
OG0000031	S_constricta|evm.model.ctg142.10	B_glabrata|XP_013061816.1
OG0000032	S_constricta|evm.model.ctg145.40	B_glabrata|XP_013081362.1
OG0000033	S_constricta|evm.model.ctg647.9	B_glabrata|XP_013091381.1
OG0000034	S_constricta|evm.model.ctg613.8	B_glabrata|XP_013078957.1
OG0000035	S_constricta|evm.model.ctg392.9	B_glabrata|XP_013075562.1
OG0000036	S_constricta|evm.model.ctg96.20	B_glabrata|XP_013064900.1
OG0000037	S_constricta|evm.model.ctg533.29	B_glabrata|XP_013085046.1
OG0000038	S_constricta|evm.model.ctg1402.5	B_glabrata|XP_013077767.1
OG0000039	S_constricta|evm.model.ctg271.100	B_glabrata|XP_013086056.1
OG0000040	S_constricta|evm.model.ctg76.36	B_glabrata|XP_013079984.1
OG0000041	S_constricta|evm.model.ctg64.47	B_glabrata|XP_013075181.1
OG0000042	S_constricta|evm.model.ctg154.29	B_glabrata|XP_013068776.1
OG0000043	S_constricta|evm.model.ctg491.9	B_glabrata|XP_013064636.1
OG0000044	S_constricta|evm.model.ctg340.12	B_glabrata|XP_013096019.1
OG0000045	S_constricta|evm.model.ctg968.2	B_glabrata|XP_013086308.1
OG0000046	S_constricta|evm.model.ctg667.12	B_glabrata|XP_013066099.1
OG0000047	S_constricta|evm.model.ctg1.21	B_glabrata|XP_013082575.1
OG0000048	S_constricta|evm.model.ctg1.125_evm.model.ctg1.126	B_glabrata|XP_013086900.1
OG0000049	S_constricta|evm.model.ctg388.17	B_glabrata|XP_013067132.1
OG0000050	S_constricta|evm.model.ctg51.64	B_glabrata|XP_013095945.1
OG0000051	S_constricta|evm.model.ctg185.15	B_glabrata|XP_013090147.1
OG0000052	S_constricta|evm.model.ctg101.83	B_glabrata|XP_013088196.1
OG0000053	S_constricta|evm.model.ctg1651.2	B_glabrata|XP_013067251.1
OG0000054	S_constricta|evm.model.ctg775.15	B_glabrata|XP_013065711.1
OG0000055	S_constricta|evm.model.ctg1149.7	B_glabrata|XP_013087945.1
OG0000056	S_constricta|evm.model.ctg1239.1	B_glabrata|XP_013082149.1
OG0000057	S_constricta|evm.model.ctg138.11	B_glabrata|XP_013065610.1
OG0000058	S_constricta|evm.model.ctg96.49	B_glabrata|XP_013076231.1
OG0000059	S_constricta|evm.model.ctg639.2	B_glabrata|XP_013083411.1
OG0000060	S_constricta|evm.model.ctg74.29	B_glabrata|XP_013072764.1
OG0000061	S_constricta|evm.model.ctg210.6	B_glabrata|XP_013096882.1
OG0000062	S_constricta|evm.model.ctg230.1	B_glabrata|XP_013065247.1
OG0000063	S_constricta|evm.model.ctg131.13	B_glabrata|XP_013084385.1
OG0000064	S_constricta|evm.model.ctg1020.4	B_glabrata|XP_013061978.1
OG0000065	S_constricta|evm.model.ctg502.6	B_glabrata|XP_013084680.1
OG0000066	S_constricta|evm.model.ctg442.45	B_glabrata|XP_013080185.1
OG0000067	S_constricta|evm.model.ctg249.21	B_glabrata|XP_013070700.1
OG0000068	S_constricta|evm.model.ctg1547.1	B_glabrata|XP_013071542.1
OG0000069	S_constricta|evm.model.ctg381.13	B_glabrata|XP_013063965.1
OG0000070	S_constricta|evm.model.ctg367.23	B_glabrata|XP_013067166.1
