Orthogroup	B_glabrata_2	A_granulata_2
OG0000024	B_glabrata|XP_013079153.1	A_granulata|evm.model.Super-Scaffold_100005.884_1
OG0000025	B_glabrata|XP_013070418.1	A_granulata|evm.model.Super-Scaffold_100008.679_1
OG0000026	B_glabrata|XP_013085147.1	A_granulata|evm.model.Super-Scaffold_100010.607_1
OG0000027	B_glabrata|XP_013079423.1	A_granulata|evm.model.Super-Scaffold_100013.373_1
OG0000028	B_glabrata|XP_013064541.1	A_granulata|evm.model.Super-Scaffold_100025.188_1
OG0000029	B_glabrata|XP_013084231.1	A_granulata|model.g2134.t1_1
OG0000030	B_glabrata|XP_013088149.1	A_granulata|model.g1298.t1_1
OG0000031	B_glabrata|XP_013061816.1	A_granulata|model.g100.t1_1
OG0000032	B_glabrata|XP_013081362.1	A_granulata|model.g501.t1_1
OG0000033	B_glabrata|XP_013091381.1	A_granulata|model.g1883.t1_1
OG0000034	B_glabrata|XP_013078957.1	A_granulata|model.g1662.t1_1
OG0000035	B_glabrata|XP_013075562.1	A_granulata|model.g3215.t1_1
OG0000036	B_glabrata|XP_013064900.1	A_granulata|model.g3997.t1_1
OG0000037	B_glabrata|XP_013085046.1	A_granulata|model.g4135.t1_1
OG0000038	B_glabrata|XP_013077767.1	A_granulata|model.g3909.t1_1
OG0000039	B_glabrata|XP_013086056.1	A_granulata|model.g5912.t1_1
OG0000040	B_glabrata|XP_013079984.1	A_granulata|model.g6072.t1_1
OG0000041	B_glabrata|XP_013075181.1	A_granulata|model.g8800.t1_1
OG0000042	B_glabrata|XP_013068776.1	A_granulata|model.g8671.t1_1
OG0000043	B_glabrata|XP_013064636.1	A_granulata|model.g9992.t1_1
OG0000044	B_glabrata|XP_013096019.1	A_granulata|model.g9597.t1_1
OG0000045	B_glabrata|XP_013086308.1	A_granulata|model.g11944.t1_1
OG0000046	B_glabrata|XP_013066099.1	A_granulata|model.g13152.t1_1
OG0000047	B_glabrata|XP_013082575.1	A_granulata|model.g15250.t1_1
OG0000048	B_glabrata|XP_013086900.1	A_granulata|model.g15596.t1_1
OG0000049	B_glabrata|XP_013067132.1	A_granulata|model.g17957.t1_1
OG0000050	B_glabrata|XP_013095945.1	A_granulata|model.g30402.t1_1
OG0000051	B_glabrata|XP_013090147.1	A_granulata|model.g29359.t1_1
OG0000052	B_glabrata|XP_013088196.1	A_granulata|model.g28777.t1_1
OG0000053	B_glabrata|XP_013067251.1	A_granulata|model.g29911.t1_1
OG0000054	B_glabrata|XP_013065711.1	A_granulata|model.g1284.t1.1.5d3b82d5_1
OG0000055	B_glabrata|XP_013087945.1	A_granulata|model.g2097.t1_1
OG0000056	B_glabrata|XP_013082149.1	A_granulata|model.g89.t1.1.5d3b81fd_1
OG0000057	B_glabrata|XP_013065610.1	A_granulata|model.g763.t1_model.g765.t1_1
OG0000058	B_glabrata|XP_013076231.1	A_granulata|model.g4291.t1_1
OG0000059	B_glabrata|XP_013083411.1	A_granulata|model.g6491.t1.1.5d3b8503_1
OG0000060	B_glabrata|XP_013072764.1	A_granulata|model.g7388.t1_1
OG0000061	B_glabrata|XP_013096882.1	A_granulata|model.g7604.t1.1.5d3b84b3_1
OG0000062	B_glabrata|XP_013065247.1	A_granulata|model.g8718.t1.1.5d3b85ae_1
OG0000063	B_glabrata|XP_013084385.1	A_granulata|model.g7299.t1_1
OG0000064	B_glabrata|XP_013061978.1	A_granulata|model.g13274.t1_1
OG0000065	B_glabrata|XP_013084680.1	A_granulata|model.g17523.t1_1
OG0000066	B_glabrata|XP_013080185.1	A_granulata|model.g17660.t1_1
OG0000067	B_glabrata|XP_013070700.1	A_granulata|model.g20823.t1_1
OG0000068	B_glabrata|XP_013071542.1	A_granulata|model.g29179.t1_1
OG0000069	B_glabrata|XP_013063965.1	A_granulata|model.g31682.t1_1
OG0000070	B_glabrata|XP_013067166.1	A_granulata|model.g32000.t1_1
