Orthogroup	B_glabrata_2	O_bimaculoides_2
OG0000026	B_glabrata|XP_013085147.1	O_bimaculoides|XP_014789426.1
OG0000027	B_glabrata|XP_013079423.1	O_bimaculoides|XP_014788131.1
OG0000028	B_glabrata|XP_013064541.1	O_bimaculoides|XP_014790475.1
OG0000029	B_glabrata|XP_013084231.1	O_bimaculoides|XP_014772627.1
OG0000030	B_glabrata|XP_013088149.1	O_bimaculoides|XP_014784674.1
OG0000031	B_glabrata|XP_013061816.1	O_bimaculoides|XP_014787618.1
OG0000032	B_glabrata|XP_013081362.1	O_bimaculoides|XP_014773878.1
OG0000033	B_glabrata|XP_013091381.1	O_bimaculoides|XP_014769418.1
OG0000034	B_glabrata|XP_013078957.1	O_bimaculoides|XP_014777276.1
OG0000035	B_glabrata|XP_013075562.1	O_bimaculoides|XP_014772225.1
OG0000036	B_glabrata|XP_013064900.1	O_bimaculoides|XP_014776166.1
OG0000037	B_glabrata|XP_013085046.1	O_bimaculoides|XP_014785114.1
OG0000038	B_glabrata|XP_013077767.1	O_bimaculoides|XP_014773522.1
OG0000039	B_glabrata|XP_013086056.1	O_bimaculoides|XP_014772348.1
OG0000040	B_glabrata|XP_013079984.1	O_bimaculoides|XP_014788148.1
OG0000041	B_glabrata|XP_013075181.1	O_bimaculoides|XP_014773542.1
OG0000042	B_glabrata|XP_013068776.1	O_bimaculoides|XP_014775340.1
OG0000043	B_glabrata|XP_013064636.1	O_bimaculoides|XP_014783376.1
OG0000044	B_glabrata|XP_013096019.1	O_bimaculoides|XP_014767759.1
OG0000045	B_glabrata|XP_013086308.1	O_bimaculoides|XP_014774176.1
OG0000046	B_glabrata|XP_013066099.1	O_bimaculoides|XP_014772041.1
OG0000047	B_glabrata|XP_013082575.1	O_bimaculoides|XP_014770126.1
OG0000048	B_glabrata|XP_013086900.1	O_bimaculoides|XP_014783673.1
OG0000049	B_glabrata|XP_013067132.1	O_bimaculoides|XP_014790578.1
OG0000050	B_glabrata|XP_013095945.1	O_bimaculoides|XP_014773139.1
OG0000051	B_glabrata|XP_013090147.1	O_bimaculoides|XP_014776868.1
OG0000052	B_glabrata|XP_013088196.1	O_bimaculoides|XP_014790391.1
OG0000053	B_glabrata|XP_013067251.1	O_bimaculoides|XP_014778145.1
OG0000054	B_glabrata|XP_013065711.1	O_bimaculoides|XP_014779552.1
OG0000055	B_glabrata|XP_013087945.1	O_bimaculoides|XP_014775648.1
OG0000056	B_glabrata|XP_013082149.1	O_bimaculoides|XP_014783300.1
OG0000057	B_glabrata|XP_013065610.1	O_bimaculoides|XP_014774168.1
OG0000058	B_glabrata|XP_013076231.1	O_bimaculoides|XP_014785555.1
OG0000059	B_glabrata|XP_013083411.1	O_bimaculoides|XP_014789933.1
OG0000060	B_glabrata|XP_013072764.1	O_bimaculoides|XP_014776694.1
OG0000061	B_glabrata|XP_013096882.1	O_bimaculoides|XP_014790210.1
OG0000062	B_glabrata|XP_013065247.1	O_bimaculoides|XP_014772987.1
OG0000063	B_glabrata|XP_013084385.1	O_bimaculoides|XP_014776218.1
OG0000064	B_glabrata|XP_013061978.1	O_bimaculoides|XP_014783678.1
OG0000065	B_glabrata|XP_013084680.1	O_bimaculoides|XP_014772273.1
OG0000066	B_glabrata|XP_013080185.1	O_bimaculoides|XP_014778623.1
OG0000067	B_glabrata|XP_013070700.1	O_bimaculoides|XP_014771836.1
OG0000068	B_glabrata|XP_013071542.1	O_bimaculoides|XP_014789121.1
OG0000069	B_glabrata|XP_013063965.1	O_bimaculoides|XP_014772840.1
OG0000070	B_glabrata|XP_013067166.1	O_bimaculoides|XP_014789614.1
