Orthogroup	C_virginica_2	A_granulata_2
OG0000026	C_virginica|XP_022344839.1	A_granulata|evm.model.Super-Scaffold_100010.607_1
OG0000027	C_virginica|XP_022341852.1	A_granulata|evm.model.Super-Scaffold_100013.373_1
OG0000028	C_virginica|XP_022321873.1	A_granulata|evm.model.Super-Scaffold_100025.188_1
OG0000029	C_virginica|XP_022344457.1	A_granulata|model.g2134.t1_1
OG0000030	C_virginica|XP_022308357.1	A_granulata|model.g1298.t1_1
OG0000031	C_virginica|XP_022328400.1	A_granulata|model.g100.t1_1
OG0000032	C_virginica|XP_022338696.1	A_granulata|model.g501.t1_1
OG0000033	C_virginica|XP_022343803.1	A_granulata|model.g1883.t1_1
OG0000034	C_virginica|XP_022343845.1	A_granulata|model.g1662.t1_1
OG0000035	C_virginica|XP_022313863.1	A_granulata|model.g3215.t1_1
OG0000036	C_virginica|XP_022314684.1	A_granulata|model.g3997.t1_1
OG0000037	C_virginica|XP_022316489.1	A_granulata|model.g4135.t1_1
OG0000038	C_virginica|XP_022314870.1	A_granulata|model.g3909.t1_1
OG0000039	C_virginica|XP_022309414.1	A_granulata|model.g5912.t1_1
OG0000040	C_virginica|XP_022332522.1	A_granulata|model.g6072.t1_1
OG0000041	C_virginica|XP_022301526.1	A_granulata|model.g8800.t1_1
OG0000042	C_virginica|XP_022300046.1	A_granulata|model.g8671.t1_1
OG0000043	C_virginica|XP_022322855.1	A_granulata|model.g9992.t1_1
OG0000044	C_virginica|XP_022334366.1	A_granulata|model.g9597.t1_1
OG0000045	C_virginica|XP_022317065.1	A_granulata|model.g11944.t1_1
OG0000046	C_virginica|XP_022325540.1	A_granulata|model.g13152.t1_1
OG0000047	C_virginica|XP_022333984.1	A_granulata|model.g15250.t1_1
OG0000048	C_virginica|XP_022330767.1	A_granulata|model.g15596.t1_1
OG0000049	C_virginica|XP_022333004.1	A_granulata|model.g17957.t1_1
OG0000050	C_virginica|XP_022340056.1	A_granulata|model.g30402.t1_1
OG0000051	C_virginica|XP_022343998.1	A_granulata|model.g29359.t1_1
OG0000052	C_virginica|XP_022345957.1	A_granulata|model.g28777.t1_1
OG0000053	C_virginica|XP_022286161.1	A_granulata|model.g29911.t1_1
OG0000054	C_virginica|XP_022343743.1	A_granulata|model.g1284.t1.1.5d3b82d5_1
OG0000055	C_virginica|XP_022345421.1	A_granulata|model.g2097.t1_1
OG0000056	C_virginica|XP_022329200.1	A_granulata|model.g89.t1.1.5d3b81fd_1
OG0000057	C_virginica|XP_022288607.1	A_granulata|model.g763.t1_model.g765.t1_1
OG0000058	C_virginica|XP_022317557.1	A_granulata|model.g4291.t1_1
OG0000059	C_virginica|XP_022295132.1	A_granulata|model.g6491.t1.1.5d3b8503_1
OG0000060	C_virginica|XP_022316787.1	A_granulata|model.g7388.t1_1
OG0000061	C_virginica|XP_022296668.1	A_granulata|model.g7604.t1.1.5d3b84b3_1
OG0000062	C_virginica|XP_022298945.1	A_granulata|model.g8718.t1.1.5d3b85ae_1
OG0000063	C_virginica|XP_022313813.1	A_granulata|model.g7299.t1_1
OG0000064	C_virginica|XP_022320821.1	A_granulata|model.g13274.t1_1
OG0000065	C_virginica|XP_022340992.1	A_granulata|model.g17523.t1_1
OG0000066	C_virginica|XP_022332899.1	A_granulata|model.g17660.t1_1
OG0000067	C_virginica|XP_022321982.1	A_granulata|model.g20823.t1_1
OG0000068	C_virginica|XP_022341053.1	A_granulata|model.g29179.t1_1
OG0000069	C_virginica|XP_022322535.1	A_granulata|model.g31682.t1_1
OG0000070	C_virginica|XP_022333852.1	A_granulata|model.g32000.t1_1
