Orthogroup	L_gigantea_2	S_constricta_2
OG0000039	L_gigantea|XP_009046521.1	S_constricta|evm.model.ctg271.100
OG0000040	L_gigantea|XP_009047712.1	S_constricta|evm.model.ctg76.36
OG0000041	L_gigantea|XP_009050006.1	S_constricta|evm.model.ctg64.47
OG0000042	L_gigantea|XP_009062528.1	S_constricta|evm.model.ctg154.29
OG0000043	L_gigantea|XP_009045632.1	S_constricta|evm.model.ctg491.9
OG0000044	L_gigantea|XP_009057767.1	S_constricta|evm.model.ctg340.12
OG0000045	L_gigantea|XP_009043858.1	S_constricta|evm.model.ctg968.2
OG0000046	L_gigantea|XP_009060904.1	S_constricta|evm.model.ctg667.12
OG0000047	L_gigantea|XP_009059115.1	S_constricta|evm.model.ctg1.21
OG0000048	L_gigantea|XP_009064850.1	S_constricta|evm.model.ctg1.125_evm.model.ctg1.126
OG0000049	L_gigantea|XP_009043632.1	S_constricta|evm.model.ctg388.17
OG0000050	L_gigantea|XP_009053420.1	S_constricta|evm.model.ctg51.64
OG0000051	L_gigantea|XP_009050923.1	S_constricta|evm.model.ctg185.15
OG0000052	L_gigantea|XP_009054282.1	S_constricta|evm.model.ctg101.83
OG0000053	L_gigantea|XP_009066668.1	S_constricta|evm.model.ctg1651.2
OG0000054	L_gigantea|XP_009044613.1	S_constricta|evm.model.ctg775.15
OG0000055	L_gigantea|XP_009066700.1	S_constricta|evm.model.ctg1149.7
OG0000056	L_gigantea|XP_009054866.1	S_constricta|evm.model.ctg1239.1
OG0000057	L_gigantea|XP_009047623.1	S_constricta|evm.model.ctg138.11
OG0000058	L_gigantea|XP_009060107.1	S_constricta|evm.model.ctg96.49
OG0000059	L_gigantea|XP_009060271.1	S_constricta|evm.model.ctg639.2
OG0000060	L_gigantea|XP_009056650.1	S_constricta|evm.model.ctg74.29
OG0000061	L_gigantea|XP_009053673.1	S_constricta|evm.model.ctg210.6
OG0000062	L_gigantea|XP_009059459.1	S_constricta|evm.model.ctg230.1
OG0000063	L_gigantea|XP_009053421.1	S_constricta|evm.model.ctg131.13
OG0000064	L_gigantea|XP_009051192.1	S_constricta|evm.model.ctg1020.4
OG0000065	L_gigantea|XP_009050443.1	S_constricta|evm.model.ctg502.6
OG0000066	L_gigantea|XP_009046288.1	S_constricta|evm.model.ctg442.45
OG0000067	L_gigantea|XP_009050729.1	S_constricta|evm.model.ctg249.21
OG0000068	L_gigantea|XP_009064827.1	S_constricta|evm.model.ctg1547.1
OG0000069	L_gigantea|XP_009048448.1	S_constricta|evm.model.ctg381.13
OG0000070	L_gigantea|XP_009063619.1	S_constricta|evm.model.ctg367.23
